Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,105.5528886776866,-118.69176866461842,592,324
2,82.65502295027655,-139.6858998395027,476,561
3,159.69310436646228,-72.47882614839715,624,197
4,166.10603871986487,67.84885401295375,479,195
5,139.95461581240883,24.19585105034662,235,523
6,159.199003021321,22.520565602896887,204,492
7,174.61571510405466,161.65954660461622,181,546
8,172.21544672899037,-159.48186552445162,186,497
9,64.34934931806798,-159.41554834768547,498,1326
10,42.06132801253687,-136.333539060434,986,1033
11,52.316678051127894,44.6467629248373,806,816
12,99.91819416514888,-37.60796669930206,379,492
13,45.42850428938855,-133.40715885071077,961,909
14,30.94510312612039,138.77273788351454,1289,1471
15,102.74786219098772,-123.21614720214168,533,349
16,254.47991334973347,-130.91438322002512,180,156
17,30.80578255521837,-149.0940505987714,1135,1896
18,41.22029196728953,-41.516728531002336,972,1098
19,96.65049100721296,-77.44570484612704,1428,318
20,92.40580176345252,75.06858282186246,1260,336
21,126.99517410809081,107.72323661688633,776,248
22,156.79497376348448,130.6012946450045,294,252
23,162.84352800542214,133.02506598911802,270,252
24,240.90617721607626,-130.18308470350738,193,163
25,149.08891856103637,-168.9833523184047,205,1053
26,164.0550593550836,-107.74467162505694,600,192
27,76.72729433825162,-147.81254819583228,462,734
28,46.66490733273367,-40.54399410954853,846,989
29,82.73881894736735,34.69515353123397,441,637
30,79.23561302023133,-113.86017519134235,936,414
31,85.46723446664825,122.02094003081092,662,414
32,86.72582944389441,-113.7763434972338,858,378
33,82.31552262385223,134.38872001771753,521,510
34,94.4896468054442,106.99886518107621,1086,332
35,141.55167677936495,-99.68339807364208,1260,215
36,150.52525104550813,-70.83197589242262,607,211
37,71.96200721428157,147.92250543701206,492,785
38,122.23957470180487,76.87770695753855,1081,252
39,89.3293687009146,-35.593997347406656,413,577
40,82.20972448984455,-115.1080068475041,860,403
