Trial, RandomSpeed, RandomAngle, UserSpeed, UserAngle, StartMovementTime, THor, TVer, THorSecond, TVerSecond, randomHorizontalInterval, randomVerticalInterval
0,35.98101184468702,227.71839044915885,39.04505609600796,225.89599710288923,1739887675539,1739887680032,1739887677955,1739887681136,1739887679025,1239.3043900578514,1126.9533023930903
1,76.59316071909272,254.0208366156821,55.87401040846096,241.49312338968332,1739887684947,1739887688814,1739887687250,1739887689939,1739887687861,1422.801663897991,407.421899202536
2,46.91960735872497,154.4661783598068,49.93940876628431,143.1209452854289,1739887693748,1739887697160,1739887698983,1739887697911,1739887699984,708.5997733868455,1483.3562500006783
3,51.56664111452869,201.32214128884306,49.585663294883645,212.82854179141253,1739887703798,1739887707577,1739887709233,1739887708297,1739887710349,624.519315962543,1599.9820328000671
4,43.071315111992874,44.13064863099504,48.216287201702116,47.272449732782945,1739887714163,1739887718217,1739887716219,1739887719135,1739887717066,970.415083964244,1000.3194197063804
5,38.114957162393154,233.33558129929568,42.04240856430709,222.51044707800085,1739887722947,1739887727132,1739887725043,1739887728100,1739887726099,1318.1323605805383,981.2328069430001
6,63.687497740547705,138.11288920271448,41.19210156595965,131.7373947198497,1739887731913,1739887735649,1739887737610,1739887736744,1739887738586,632.7391003774245,705.518480002939
7,35.552690682159806,140.1051446817229,42.906249142919975,135.63723719690137,1739887742397,1739887744738,1739887746943,1739887745716,1739887747943,1099.8344290220493,1315.6272591592633
8,82.91164527620953,212.06097896567243,62.53572388934175,207.93581943027573,1739887751747,1739887754744,1739887756019,1739887755287,1739887757043,426.94742891009844,681.6433370157014
9,39.95593875704545,57.661786928508434,45.03260035805289,48.681678128273575,1739887760847,1739887765102,1739887763093,1739887766111,1739887763980,1403.6355195946958,888.6523648516336
10,57.896250922228965,314.37875774820225,65.77879757327709,326.0192573941897,1739887769913,1739887775093,1739887772911,1739887775644,1739887773727,740.8771083534414,724.9825753349062
11,42.977218743057605,44.30735386749143,40.39544852584313,44.318264212255485,1739887779447,1739887782101,1739887784201,1739887783139,1739887785264,975.4628690547703,999.3373036263378
12,115.40354663198637,201.05684563767466,60.45047906847123,211.49295126965976,1739887789080,1739887791552,1739887793043,1739887792134,1739887793993,278.5582379901873,723.5226165223405
13,128.49466438684223,241.85321942448883,67.50637515816148,243.86813587751445,1739887797797,1739887801260,1739887799850,1739887802269,1739887800345,494.9266739629284,264.78576347485466
14,64.13612365207477,49.47173347556566,50.41853585849325,49.54309185759365,1739887806080,1739887809111,1739887811097,1739887810028,1739887811879,719.8191458095845,615.3980492720284
15,83.40385874302675,283.4048339514419,50.21772675553654,304.0479301146529,1739887815696,1739887819610,1739887817944,1739887820677,1739887818665,1551.549100253871,369.76946797009066
16,28.015464107270276,134.14925264374938,24.295252852321568,131.4328041936178,1739887824480,1739887828178,1739887831561,1739887830044,1739887833208,1537.3887429278952,1492.3981234685991
17,54.85969926405294,317.2515615700068,31.264353632619862,319.2834286948888,1739887837013,1739887842915,1739887840089,1739887844181,1739887841560,744.6806171139714,805.6350020965766
18,69.80850237520484,248.56664589191314,59.65197337944042,244.54235790222828,1739887847996,1739887851811,1739887850001,1739887852981,1739887850558,1176.0401100994363,461.6750238305908
19,35.98039730588204,227.64284351815095,31.791878391127813,224.09879240282632,1739887856797,1739887858483,1739887861277,1739887859797,1739887862633,1237.5322189102565,1128.3264035186564
20,35.28148079507992,54.49869357829658,33.862058090292095,42.87890360333853,1739887866446,1739887871816,1739887869320,1739887873025,1739887870622,1464.220662458799,1044.4688219214545
21,86.53475231327188,167.3978903745234,51.064513089384555,142.85784852811457,1739887876830,1739887879560,1739887881599,1739887880297,1739887882572,355.23970202304554,1588.9762490486414
22,43.934338384552646,321.3638883958539,39.09152568755599,321.61826931647505,1739887886380,1739887892070,1739887889364,1739887893049,1739887890600,874.1691079271651,1093.6383177179227
23,136.74903254804124,107.8927441438085,70.94377663112964,111.34086982257537,1739887896863,1739887900560,1739887899055,1739887901722,1739887899510,714.0436132975716,230.5299481736505
24,122.79446352012559,115.26275606880154,60.76802535319628,131.77719748813217,1739887905530,1739887909848,1739887908113,1739887910589,1739887908775,572.4644089873846,270.1475602259803
25,74.00146407903375,231.3336130200149,52.237205548614725,228.39936799243435,1739887914397,1739887918367,1739887916592,1739887919232,1739887917360,648.8593313014358,519.2096600475473
26,55.194512550159644,219.3514068591717,62.076992862909925,220.44258098028598,1739887923046,1739887927560,1739887925748,1739887928195,1739887926493,702.8995784076243,857.2051582392949
27,57.708749909069155,157.04182026969477,52.131438445597844,149.05130544957558,1739887931997,1739887934794,1739887936678,1739887935465,1739887937797,564.5716765235118,1332.7513210798543
28,40.405313686961115,38.459806230244965,39.273415214067775,45.66280915841634,1739887941613,1739887946072,1739887943767,1739887947165,1739887944835,948.1918890568982,1193.7585504983388
29,56.65026120185765,35.314965260723966,38.89685660724095,46.233387843613514,1739887950979,1739887953169,1739887955352,1739887954284,1739887956420,648.9874451098693,916.0903851502391
30,74.12698613875209,66.67585593828295,46.87257048143876,56.44716761161129,1739887960230,1739887964755,1739887962871,1739887965913,1739887963639,1022.1714945246878,440.7273135232076
31,154.6631589189362,304.5395261972493,87.84334757473223,310.0277286513572,1739887969729,1739887972183,1739887974148,1739887972714,1739887974594,342.11392213808983,235.47604197447254
32,55.85433590938373,152.04589993880302,49.16635386732611,136.65740154341393,1739887978397,1739887981214,1739887983932,1739887982053,1739887984822,608.0574641989192,1145.8032190423987
33,81.16877933782173,105.58273397085401,48.982930428278316,117.26353782139091,1739887988629,1739887993129,1739887991263,1739887994466,1739887991952,1375.8732867270487,383.7038218260701
34,88.92741501168356,197.92674830222285,53.15153068181939,200.35072653697281,1739887998279,1739888002256,1739888004169,1739888002858,1739888005793,354.56776140854856,1096.013230387548
35,49.27520751389438,38.01744910217877,51.793476739133105,31.45461386105353,1739888009595,1739888014868,1739888012378,1739888015547,1739888013488,772.794487364032,988.511166769127
36,66.570505407262,291.10784552205087,44.936838241182656,299.0935639480916,1739888019363,1739888023711,1739888021679,1739888025084,1739888022443,1251.3726731256797,483.0614020424204
