Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,54.78180284113945,-42.60331406608674,744,809
2,127.62873628439175,77.24922703582574,1065,241
3,75.52861232953344,-120.92013584806647,773,463
4,87.62208222541564,-161.51731796442246,361,1080
5,96.46266394955148,-19.536654938128386,330,930
6,94.35877139325339,26.087597399768413,354,723
7,92.01239168163487,72.42874122167758,1080,342
8,65.1963854332213,-120.67329799578832,902,535
9,45.23861929038192,-46.64702866125874,966,912
10,62.00550241561536,-20.339222112652223,516,1392
11,178.63357392815098,35.387885245634116,206,290
12,41.5105251773109,137.707729153537,977,1074
13,109.88641442312148,-158.71273580187292,293,752
14,90.76491811977769,-20.983415236886184,354,923
15,97.35764882459414,20.970592369196037,330,861
16,154.0899443577162,43.85631603340024,270,281
17,53.37667068055107,113.52683123451355,1408,613
18,67.83708158249217,-106.4034052508517,1566,461
19,60.9973745725964,-71.70776886115407,1567,518
20,64.42708776036018,-18.839270982957874,492,1442
21,57.98638639469928,25.246601890885533,572,1213
22,96.29459055684056,101.56495651470776,1554,318
23,92.22420181041498,-104.50230514751424,1299,336
24,77.79361308447041,-160.94150745323822,408,1181
25,90.41061962642529,-17.540510550855263,348,1101
26,103.6645976260638,14.56209247581022,299,1151
27,124.07226875451589,78.21625235748115,1184,247
28,141.63181641562136,145.18456159401651,258,371
29,129.78542971541535,-158.75816253811277,248,638
30,39.34940557538093,-117.30484078874447,1662,858
31,70.0818234587255,-63.338935876324456,954,479
32,60.02429147105023,-71.18883864192826,1550,528
33,88.86373403030714,17.510903470149305,354,1122
34,128.68953009084154,25.832188022803606,259,535
35,81.11890976816433,108.50868852418165,1165,390
36,95.10915650524267,-20.612087044981493,337,896
37,37.70460379460164,-119.25739905728994,1628,912
38,30.909841389538915,-43.49914391270657,1338,1410
39,91.31973017603289,27.68835389115342,371,707
40,30.672167265402102,120.91062290324341,1904,1140
