Trial, SoundSpeed, SoundAngle, MovSpeed, MovAngle, soundStart, startDragTime, endDragTime, randomHorizontalInterval, randomVerticalInterval
0,116.5322411503071,56.670140064679856,168.79647368179886,64.3589941756947,1739889372427,1739889377147,1739889378297,468.5332274516467,308.11846265800045
1,136.03660985808386,329.52626977150163,217.82695200284712,324.9363899434283,1739889382799,1739889386761,1739889387664,255.8749882684581,434.84531776090887
2,34.70467809639066,56.7020266406131,65.88369213693183,52.125016348901795,1739889392165,1739889398989,1739889401931,1574.585422710985,1034.2295732919943
3,33.275633220359865,41.90256589444067,57.754270186477754,46.04925594088007,1739889406432,1739889412270,1739889415613,1211.3164677898103,1349.9126415810292
4,35.09026560843386,213.07606105782386,70.05616615564011,216.1581854398083,1739889420114,1739889427356,1739889430114,1020.277116461238,1566.5322505343474
5,82.22604463868693,15.353147218948664,101.39375749976723,9.510960379290623,1739889434615,1739889440704,1739889442614,378.3503824841657,1377.992734625075
6,53.52718546996546,242.28890359391426,122.30835909771092,249.68717372979262,1739889447115,1739889452719,1739889454297,1205.2614772043594,633.0742136964336
7,40.6088111287309,218.3808733878923,74.39229528826206,222.69262700303779,1739889458799,1739889467850,1739889470447,942.410009826951,1189.8412478662672
8,42.12789686590682,40.687734492550874,56.21259270364764,25.106446045865823,1739889474949,1739889482960,1739889486398,939.1292330548437,1092.3113619084959
9,39.241693492025654,330.1403855379465,57.708550551411086,338.4735201670506,1739889490899,1739889498228,1739889501581,881.5161181304804,1535.507070294226
10,57.58556426942584,22.5960052465673,58.463530809840194,36.39687822130162,1739889506082,1739889512716,1739889516031,564.2796948633145,1355.8613433048145
11,101.57743003267052,14.627359296705663,129.28915176924423,13.7490489834193,1739889520532,1739889526784,1739889528281,305.2342393852503,1169.52258494331
12,65.32808269897278,301.015868620039,109.78211015233047,293.1208486624247,1739889532782,1739889539985,1739889541748,891.2137659620461,535.8312552854172
13,46.311841199829395,115.10921506982447,64.20129063148545,120.40553365100084,1739889546249,1739889553065,1739889556081,1526.5465555839928,715.3860763657356
14,55.640040119574124,295.25747467812585,62.2776858702547,291.52647983294946,1739889560582,1739889566257,1739889569364,1263.6438392160942,596.1746592761438
15,140.563511658174,102.43135354686143,86.91443249336143,118.42120922452688,1739889573866,1739889578490,1739889580714,991.4381936691317,218.55065653037946
16,92.8238414831473,253.76197712657205,108.31608040624032,248.58165114484987,1739889585216,1739889589619,1739889591414,1155.7943456860248,336.6212124563202
17,41.1098178559705,327.48730788477803,69.73972811068207,328.5283154663727,1739889595916,1739889600624,1739889603398,865.381913864474,1357.713712079137
18,46.33217592907777,334.2108944510356,56.873537204841654,340.0674634380605,1739889607899,1739889613044,1739889616448,719.1216145541655,1488.2966391288492
19,77.30349289820197,339.0885005088569,130.16157418076136,343.1587942638576,1739889620949,1739889625230,1739889626715,415.4449546529369,1087.2879422749284
20,66.92853973810577,319.81392867556013,99.9996661519843,308.7060518110489,1739889631216,1739889643013,1739889644948,586.736777523857,694.6516830013863
21,151.1432421910995,352.82964489930606,251.5963600847763,349.9579763644705,1739889649449,1739889653673,1739889654448,200.05172833593954,1590.1888564395583
22,36.69590661125825,227.91953195743977,57.57075040236415,229.3987053549955,1739889658949,1739889664458,1739889667821,1219.877692017055,1101.4889401073851
23,116.9609984995068,46.8805008985002,86.052485215288,47.09015915371066,1739889672323,1739889677245,1739889679498,375.2559151915886,351.39789244651035
24,50.401298414891414,134.24454809431552,51.915742884886626,131.241444314528,1739889684000,1739889689958,1739889693698,853.0940788080354,830.8892643736377
25,83.617291638104,241.32633874100836,77.66817179999421,243.69898280418113,1739889698199,1739889703099,1739889705598,747.7331040161033,408.9252684054933
26,106.06814321551421,280.4356086237863,161.12204677211426,285.25511870305775,1739889710099,1739889714895,1739889716098,1561.510723635028,287.5941113415171
27,42.83335552025793,30.40733737016575,45.31777168662944,19.932536561939514,1739889720599,1739889724609,1739889728881,812.0930709281479,1383.7730870250714
28,36.16119680342879,54.159725849824554,49.2524838215612,52.35908768201523,1739889733383,1739889742008,1739889745931,1416.873435067341,1023.3961143182739
29,34.59806251977895,56.90875846472369,79.72913825630113,62.641062733446574,1739889750433,1739889761969,1739889764398,1588.1722214653291,1034.9705360606558
30,37.969893833967646,128.40194864219677,67.0527982463712,157.81332210655205,1739889768899,1739889775949,1739889778832,1271.9449028968572,1008.2015438763899
31,30.085666706812997,227.95917816297995,43.817635509261784,239.18876071064975,1739889783333,1739889790488,1739889794899,1489.0432603002173,1342.662820217145
32,35.1934725500139,228.52685821856758,56.24837255857502,241.31874657329854,1739889799400,1739889807604,1739889811049,1287.1370100845588,1137.6874373023707
33,55.65445488972511,23.07359233929958,59.76142763603447,34.508522987668414,1739889815551,1739889819400,1739889822649,585.9120666227248,1375.4078833654012
34,42.206472862889605,218.09843489718426,63.567461893590554,218.70605181104892,1739889827151,1739889834722,1739889837766,903.2209845700279,1151.9852264349886
35,89.03160984884535,64.42930106625414,82.81269829552822,57.61932229343074,1739889842268,1739889847121,1739889849466,780.6762101336959,373.5466032994576
36,62.741934703104725,208.898860511533,74.32125086919227,204.05252941304886,1739889853968,1739889859125,1739889861733,546.1601723108516,989.4139526717623
37,124.6985801958279,10.222515105211073,112.19792865362486,22.61986494804046,1739889866234,1739889870295,1739889872033,244.46070781007364,1355.5988067274052
38,36.925723213551144,138.1922102764882,50.50893594597226,151.57879077547318,1739889876534,1739889882873,1739889886700,1089.9620530472412,1218.7227112961323
39,46.747281484562656,306.335013955938,82.40939439342783,297.3589372665534,1739889891201,1739889898216,1739889900566,1083.1097147155904,796.642697162979
