Trial, RandomSpeed, RandomAngle, UserSpeed, UserAngle, StartMovementTime, THor, TVer, THorSecond, TVerSecond, randomHorizontalInterval, randomVerticalInterval
0,37.73846366125299,120.59635418507264,60.7495232147776,137.85832868542042,1739888961926,1739888965994,1739888964349,1739888966660,1739888965085,1561.8188204413893,923.5229411603638
1,47.399217465499845,61.29295625303405,68.90203869903966,32.97349100965977,1739888970464,1739888973045,1739888974164,1739888973564,1739888974964,1317.677622983968,721.6179863465571
2,57.66598074569371,25.50273521998048,92.31720959543962,29.39882872359101,1739888978780,1739888980412,1739888981328,1739888980785,1739888981990,576.398992585538,1208.2971682639961
3,77.75629373265879,17.414675989147327,99.86892326862048,22.4386972183691,1739888985797,1739888990020,1739888988407,1739888990345,1739888989194,404.3549955169102,1289.1410973109166
4,58.91129131563671,42.34971198568195,81.8811593300582,51.99192534666781,1739888994148,1739888997766,1739888996513,1739888998361,1739888996978,689.0499747516806,755.9373860328541
5,52.695047579646626,339.08254319202933,75.93708519373833,30.60409591017077,1739889002164,1739889004019,1739889005138,1739889004478,1739889005914,609.4808464999473,1594.614566804956
6,89.18915717982968,284.42114304916475,82.15036408290416,293.09452460405856,1739889009731,1739889011497,1739889013267,1739889012428,1739889013664,1350.6019414525388,347.3069386483081
7,32.263681596883565,222.93500305886405,59.32747852333262,232.78080873047767,1739889017481,1739889019836,1739889021514,1739889020672,1739889022149,1270.0504400200318,1365.0637209114552
8,133.3569667760823,75.62506295703224,97.64332583357864,66.12161486154861,1739889025963,1739889029470,1739889028462,1739889030229,1739889028798,906.1247496245818,232.23084296692446
9,83.76279706631759,214.1134769802337,79.33915479699341,237.76998544443487,1739889034031,1739889035302,1739889037114,1739889036011,1739889037561,432.5908036018104,638.6103310486517
10,103.66503955725224,195.93085933773293,81.12931370764686,207.5307785058667,1739889041364,1739889042761,1739889043622,1739889043178,1739889044422,300.9520911755437,1054.344919715203
11,57.565928911734005,331.76262073246545,87.41772660246431,322.5984076271441,1739889048231,1739889050029,1739889051067,1739889050461,1739889051632,591.5375327825309,1101.4867382507578
12,123.90158240375258,123.91623347375503,103.27241104969904,151.04278240121175,1739889055448,1739889058086,1739889058929,1739889058418,1739889059529,433.9358918103778,291.7713139261512
13,49.87851255870461,292.4480314344009,101.23389366544626,291.2674248840077,1739889063331,1739889065864,1739889067693,1739889066681,1739889068011,1575.144193906509,650.7728999404981
14,39.558742237594885,39.61553580770669,43.82797332177166,47.79916000679668,1739889071815,1739889073517,1739889075388,1739889074536,1739889076312,984.4555653687484,1189.3455944558536
15,50.155897630304835,115.2031321551504,42.33869924925684,130.3675769434587,1739889080114,1739889084568,1739889082667,1739889085662,1739889083597,1404.6375141258836,661.0660340082839
16,63.43100696141998,214.28987968789244,45.13565212992833,215.556640485147,1739889089464,1739889091428,1739889093285,1739889092245,1739889094428,572.4474232293803,839.4950268686778
17,84.98589944384297,34.04426771657086,52.92886884572456,38.57515370526164,1739889098231,1739889100046,1739889101652,1739889100771,1739889102561,426.01675665779965,630.5444085696752
18,47.28757028642877,331.777044111627,54.05472706991375,318.76593522243445,1739889106365,1739889107757,1739889109251,1739889108495,1739889110093,720.0159678394729,1341.533206128785
19,78.510453369097,295.9628288171397,72.15770129854498,306.6191807268056,1739889113898,1739889115257,1739889116771,1739889115954,1739889117289,872.8305981191515,425.0071884659569
20,99.1951894978079,163.7803972874401,80.6958056166919,152.27102225659883,1739889121098,1739889123814,1739889124869,1739889124234,1739889125668,314.9704173339088,1082.752448923402
21,38.321698354232936,121.58522775115654,42.23673575439164,135.142597464446,1739889129481,1739889133694,1739889131321,1739889134696,1739889132328,1494.6481229815051,918.9825395420953
22,65.60101360968133,33.0687246059216,47.94885786696589,38.54828376328055,1739889138497,1739889140005,1739889141600,1739889140805,1739889142604,545.7051328535616,838.1096486530951
23,88.22516587566655,151.2668112385934,55.08883673020204,142.76516601842536,1739889146413,1739889148036,1739889149404,1739889148720,1739889150304,387.7882324965203,707.336688668748
24,31.043406865025382,128.2514857760736,43.32508467940636,126.909631189761,1739889154115,1739889156712,1739889158910,1739889157865,1739889159776,1560.9213933739516,1230.5968401988919
25,92.82779601481434,334.7668188349293,58.40398755225486,331.7716549283835,1739889163581,1739889168468,1739889169861,1739889169051,1739889170947,357.2696124845593,758.0966862482081
26,51.76272410616666,313.747406655286,48.80088824094287,313.74891173619653,1739889174748,1739889176245,1739889177901,1739889177134,1739889178752,838.1548878862485,802.2860534853514
27,56.4631907773739,21.489595085493875,45.946241561363856,40.91219527258994,1739889182564,1739889184268,1739889186002,1739889185132,1739889186999,571.0141589691802,1450.3762395289061
28,87.3478436692706,23.725478548329477,41.90075442994342,39.35842790981616,1739889190814,1739889191854,1739889193722,1739889192780,1739889194851,375.1616355837415,853.6105078512311
29,91.44979858895931,115.43212752849678,62.14207296677903,126.42759934531017,1739889198664,1739889201564,1739889200228,1739889202377,1739889200828,763.8962798819433,363.24967952310556
30,36.64056442860134,46.379742773411294,40.88400127021353,51.3937058457098,1739889206180,1739889208271,1739889210595,1739889209447,1739889211534,1186.8295622830738,1131.0029209126303
31,37.05792856237083,227.94773703699565,50.71423737525631,231.48759502120254,1739889215348,1739889217350,1739889219356,1739889218300,1739889220112,1208.6196696415436,1090.243926368949
32,124.2622761418236,239.94828995086394,121.36996507026775,248.31681738637394,1739889223914,1739889226478,1739889227670,1739889227147,1739889227936,482.0962641580009,278.9188398141713
33,35.78712201655806,319.468313957878,40.6665452839055,315.6863085674029,1739889231748,1739889233081,1739889234755,1739889234112,1739889235811,1102.9458982194371,1289.9385206754912
34,128.8536781679973,15.223146598196479,94.09403549137406,26.08891992543613,1739889239614,1739889241345,1739889242186,1739889241700,1739889242911,241.28893375821207,886.6749313888664
35,106.89772064027748,14.59707083251044,64.87730258646786,23.17504591685838,1739889246715,1739889251960,1739889253118,1739889252463,1739889254293,290.0027861797766,1113.5712260501937
36,33.369659803259566,308.2943169181414,49.015408312779265,305.30670976258597,1739889258098,1739889259777,1739889261845,1739889260836,1739889262595,1450.7318535071504,1145.4853542485241
37,42.485486609658125,153.0061404012754,52.90546581205184,145.99812178626746,1739889266397,1739889270145,1739889268285,1739889270829,1739889269299,792.4576493905303,1555.6978509404391
38,98.52533931520645,193.42974231785348,76.3525009307001,201.3966940633248,1739889274632,1739889276284,1739889278237,1739889276706,1739889279314,313.0504212205129,1311.028942448584
39,49.51216846821846,37.724556724495244,42.95890887030762,40.83463255233772,1739889283132,1739889284840,1739889286965,1739889285763,1739889288033,766.0445692991777,990.2683891276035
