Trial, RandomSpeed, RandomAngle, UserSpeed, UserAngle, StartMovementTime, THor, TVer, THorSecond, TVerSecond, randomHorizontalInterval, randomVerticalInterval
0,38.43869190140505,57.233592462911815,40.55902922568862,41.78695843975754,1740674392989,1740674399707,1740674397510,1740674400699,1740674398620,1442.0575556480242,928.1465054032132
1,61.82196602060003,200.6087769110218,50.47096561218337,209.21013621520552,1740674404501,1740674409148,1740674411079,1740674409829,1740674412297,518.4417677495844,1378.6506903470174
2,40.71354138376375,30.43624989041632,42.04333450377968,41.92193847562311,1740674416100,1740674422340,1740674424875,1740674423298,1740674425943,854.6291682121622,1454.5708679490688
3,77.14333572067457,24.233772445312297,53.99782060755908,25.196894706521732,1740674429751,1740674433203,1740674434959,1740674433817,1740674436264,426.4675038752707,947.4392267220861
4,60.160186143364676,305.59074705525404,39.328878391000686,307.99962982033185,1740674440068,1740674447198,1740674445088,1740674448437,1740674446056,856.8313112873011,613.2216958786723
5,68.81072283774213,112.6564162789943,54.609664443568974,127.66702243311789,1740674452251,1740674458298,1740674456268,1740674459197,1740674456962,1131.8116220045124,472.4357826474999
6,69.11215906743496,67.62814469051006,54.84859570644711,62.25753960325744,1740674463001,1740674468737,1740674466848,1740674469912,1740674467466,1140.4586700182736,469.40789108902254
7,28.123713421278502,45.419729511333344,32.976980026994205,40.702613336058334,1740674473718,1740674478588,1740674481222,1740674479788,1740674482617,1519.7372358637917,1497.6326090118857
8,48.309600751050276,121.48214915902935,38.615555551744976,127.78415239247875,1740674486434,1740674493707,1740674490948,1740674494975,1740674491931,1189.1142479059592,728.1806471607185
9,67.66909232710937,287.3798410052917,57.92318909625165,302.92019745010083,1740674498784,1740674503402,1740674501664,1740674504355,1740674502281,1484.186111299639,464.5423159139068
10,93.50002873895154,52.15661679049015,75.33411220707312,64.0177694670632,1740674508167,1740674513687,1740674512254,1740674514596,1740674512697,522.9874717082923,406.30529687447705
11,36.12531549514016,58.55227379993022,40.81669866425863,38.487820611472955,1740674518401,1740674525424,1740674522401,1740674526363,1740674523582,1591.738618681143,973.4222274659389
12,35.141968930373864,40.48595071301622,47.10025022788943,38.154772175979474,1740674530166,1740674535805,1740674538200,1740674536615,1740674539231,1122.4285864316316,1314.8477424098162
13,71.60083702384152,290.42591335346,67.3180279127207,297.62814981262585,1740674543033,1740674548689,1740674546164,1740674549650,1740674546667,1200.5570613299801,447.1013508395829
14,45.142756280716945,63.170442076043,54.20940815279014,41.941302425904155,1740674553466,1740674561308,1740674558656,1740674562052,1740674559484,1472.4187185010885,744.7258794161046
15,132.46842654610202,12.390098570988584,116.38542264436654,17.98088514827407,1740674565867,1740674569919,1740674570901,1740674570190,1740674571736,231.86944451409212,1055.472380742752
16,45.091281954288554,42.788421156655545,44.631362137282466,44.03612409038209,1740674575549,1740674578763,1740674581480,1740674579698,1740674582447,906.590617403201,979.425767059156
17,44.31279744584978,125.68760145396436,45.8957224539733,135.4648014275473,1740674586249,1740674589913,1740674591880,1740674590830,1740674592812,1160.5166358846805,833.535057579305
18,61.01917810514428,233.39678850857268,34.86685533006286,231.52761427977887,1740674596616,1740674603904,1740674601631,1740674605287,1740674602730,824.5405798842672,612.4295864234928
19,37.97186322454263,32.10866107939819,52.46813941159026,40.85943044459657,1740674609100,1740674613190,1740674615363,1740674613946,1740674616237,932.7271436217139,1486.3952898459993
20,35.91899297565909,130.25882830144877,41.9015480269143,147.70344716586794,1740674620050,1740674624237,1740674626589,1740674625084,1740674627930,1292.4156534361882,1094.4525134493385
21,29.461800865701278,320.2693681741579,37.54506011856109,313.30415547119554,1740674631733,1740674638831,1740674636617,1740674639996,1740674637715,1324.045479518735,1593.086734208546
22,43.78276201160459,126.31457780401587,60.961123397770905,118.87766251635156,1740674643799,1740674649866,1740674652412,1740674650885,1740674652974,1157.0079424945761,850.3601368238582
23,81.21750583577192,18.44246250261432,74.89839420000165,23.266751056694318,1740674656783,1740674659980,1740674661682,1740674660416,1740674662696,389.3761440867503,1167.6180112264396
24,81.98515161883441,215.24244612929505,76.42514625280133,227.31527991388606,1740674666499,1740674671817,1740674673599,1740674672396,1740674674133,448.037242147087,634.1354009496183
25,38.16158904931876,126.62216957153754,47.17482033184669,127.06923172722907,1740674677950,1740674680891,1740674683383,1740674681946,1740674684180,1317.8274064300738,979.4963832351543
26,60.7009656248989,251.02203248615805,65.58526984284136,240.60723350876583,1740674687982,1740674696296,1740674694846,1740674697228,1740674695371,1519.7391565053877,522.6345561701123
27,33.076730334102706,144.49589840493155,54.09695616345991,126.51415056813107,1740674701033,1740674705951,1740674708682,1740674706883,1740674709372,1114.1273269681537,1561.7124155789454
28,89.99802447315705,74.22255683037315,96.7803249140754,60.83078921383424,1740674713182,1740674719282,1740674717498,1740674719918,1740674717853,1225.9614650940307,346.39088773364784
29,70.97806097748098,290.07811608463055,57.984745718275356,302.72614755573403,1740674723733,1740674737121,1740674735297,1740674738078,1740674735912,1231.1814778346738,450.01529527677457
