Trial, SoundSpeed, SoundAngle, MovSpeed, MovAngle, soundStart, startDragTime, endDragTime, randomHorizontalInterval, randomVerticalInterval
0,118.65588255448108,79.50125748426052,83.25336691061733,56.55548431141932,1740393282562,1740393286236,1740393288568,1387.5555159582934,257.1367151523474
1,30.307148335451487,319.8479370997227,32.4177615363945,223.11181199325907,1740393293069,1740393297177,1740393303135,1295.0662458704342,1535.1073187679026
2,33.36887284999474,233.0309116709771,41.26815336009923,217.64091231798477,1740393307635,1740393311770,1740393316452,1494.9539067615979,1125.2645511891415
3,36.35281135184263,135.23069995960032,27.453772128144887,150.2551187030578,1740393320952,1740393325587,1740393332635,1162.4026639547078,1171.801326141624
4,118.45166217733798,10.270187812079996,51.80085801761608,336.2179695767786,1740393337136,1740393340551,1740393344285,257.3918158068536,1420.5368006792426
5,40.673758151459424,318.17863796776714,77.12210203431233,321.2939481889511,1740393348786,1740393353776,1740393356285,989.7331471367261,1106.1260247554715
6,92.03391630954205,22.799741841176626,70.4895028971593,61.31874657329854,1740393360786,1740393364369,1740393367118,353.5949659252,841.1797936225553
7,38.671217663380475,150.74270455650583,47.32098279019113,115.10644604586582,1740393371619,1740393375284,1740393379368,889.2030275432735,1587.3121365579443
8,48.77649563537865,310.4320883525696,36.8809540080773,322.77460052838666,1740393383869,1740393393307,1740393398551,948.3522429907692,808.0272808512437
9,144.4842708749084,163.0157639136943,51.361790448625364,115.37431728522068,1740393403052,1740393406496,1740393410267,217.10401499384778,710.8146423341678
10,29.795066887787577,220.4957519093862,31.393763931332597,211.06516488549866,1740393414769,1740393420360,1740393426533,1324.0484441624365,1550.494314687286
11,36.6176824406991,55.67903522481299,12.240612079241336,19.932536561939514,1740393431035,1740393434584,1740393450400,1453.0599826384562,991.9895998305999
12,105.75281029956889,53.46285959864019,138.212375827746,7.963787060718801,1740393454901,1740393457907,1740393459317,476.4985092920951,353.06857882070074
13,52.58565814469166,213.15737423665243,38.8701573675532,216.39687822130162,1740393463818,1740393469464,1740393474450,681.4586888550086,1043.0708667485794
14,37.77881881333688,31.266457082938246,35.01953645780568,67.53941599850333,1740393478951,1740393483186,1740393488717,929.0246817839865,1529.994240089974
15,34.161207988052375,142.0541496904492,33.948603004423255,155.28682311953412,1740393493217,1740393498143,1740393503850,1113.6161650735721,1428.1437298265162
16,41.39659467587939,235.38968854528417,30.4163555861363,233.1892921879689,1740393508351,1740393512235,1740393518600,1275.8937632309778,880.5190900642197
17,38.671870738663976,134.34515260908347,26.304139738863636,156.8791513375753,1740393523101,1740393529041,1740393536399,1109.8438924279549,1084.7601373108437
18,28.070874134331017,227.09443360887784,33.831504610480955,247.813322106552,1740393540901,1740393546152,1740393551866,1569.8235959729598,1459.0543396842718
19,37.68447779899479,304.81602906031236,15.552420947352442,335.94747058695117,1740393556366,1740393576186,1740393588649,1394.3307176108624,969.6637112825806
20,136.7603598181399,103.88825562657092,89.6079042735814,107.68846624823283,1740393593150,1740393598098,1740393600265,913.8968746522289,225.96781995902506
21,40.52083486799263,141.73129928398703,31.44961393230413,164.38060786128926,1740393604767,1740393608324,1740393614465,942.9956573448793,1195.381590362514
22,37.85492437908729,30.3160870853921,25.34350089627782,44.790126288432475,1740393618966,1740393623848,1740393631465,918.037334421013,1570.020479707838
23,50.62800298016199,31.385952182029087,44.798074676047975,9.510960379290623,1740393635966,1740393642075,1740393646398,694.1224759591898,1137.7823618463906
24,28.267477373804162,317.8732308574814,27.33452401569259,319.3987053549955,1740393650899,1740393658815,1740393665898,1430.961216149473,1582.1894937955055
25,33.83586607071234,126.02762499574823,41.138586309241155,168.69006752597977,1740393670399,1740393680921,1740393685631,1507.430202049395,1096.3229954020944
26,72.20754607624558,143.04407922191876,60.28794352193184,142.7746005283867,1740393690131,1740393694073,1740393697281,519.9223418287954,691.0657734341214
27,30.6966424296512,218.3760444767589,52.092135509252685,230.46021259214837,1740393701782,1740393706405,1740393710114,1246.637830261013,1574.2171405254167
28,33.63365819317289,233.98547739676695,25.165475339913804,223.11181199325907,1740393714615,1740393718805,1740393726480,1516.970000093243,1102.730794084111
29,134.74728409739149,22.239301802148816,91.49478961474506,14.036243467926454,1740393730981,1740393735612,1740393737730,240.5318760028576,588.2516098207819
30,65.4090199220049,72.33094041224513,65.83444743134558,73.15879426385766,1740393742232,1740393749661,1740393752597,1511.1178945524932,481.3602572933801
31,56.02952426007789,53.103385156714126,42.302516361148356,38.93637463148826,1740393757097,1740393759707,1740393764296,891.8322712046232,669.524218464668
32,66.0105375619597,127.1302469109254,34.51638680280482,159.1323795945808,1740393768798,1740393772301,1740393777913,752.9010823765827,570.0396696102212
33,131.6906278346186,332.0874711681007,326.37051935569923,292.90210788431125,1740393782414,1740393789224,1740393789846,257.79801825336034,486.63837746371377
34,40.18929687033303,229.36142918863334,42.829589554272246,196.84120573614237,1740393794347,1740393803033,1740393807546,1146.145190035783,983.7043986737112
