Trial, SoundSpeed, SoundAngle, MovSpeed, MovAngle, soundStart, startDragTime, endDragTime, randomHorizontalInterval, randomVerticalInterval
0,52.723983718626194,328.9694115226645,115.26021376545727,314.5817900585029,1740403212619,1740403216275,1740403217956,664.0286841670988,1103.7940796752512
1,54.83869576063853,203.30720157469418,78.44866564559389,255.603863152831,1740403222457,1740403226913,1740403229374,595.667414390719,1382.6458641127015
2,67.9107424317202,322.69434473184157,136.89247835788265,294.8571967669569,1740403233875,1740403239599,1740403241024,555.3793515025562,728.8903510094517
3,60.02168366291031,62.750462369622824,112.15463908374002,79.85445556610364,1740403245525,1740403248786,1740403250507,1091.6262822749372,562.2133335923446
4,34.25542247114862,312.96456788477377,49.62991620830523,312.2736890060937,1740403255008,1740403259996,1740403263890,1284.981224018692,1196.779583557699
5,65.56409349942085,159.70566068111486,89.74963556608273,157.49261189905872,1740403268392,1740403272074,1740403274257,487.8518006595149,1319.2353310804385
6,51.241282639131896,327.2276062707286,95.55769517760166,303.6078641684473,1740403278758,1740403283284,1740403285307,696.2967195997414,1081.5851401209438
7,108.45385374197565,283.3436478845691,187.19017141802635,279.70285723285235,1740403289808,1740403293178,1740403294224,1198.553230752333,284.2902305076367
8,42.59595003137743,116.93385634807845,60.90078631650016,117.75854060106002,1740403298724,1740403303000,1740403306173,1554.8609695800578,789.9815898008634
9,44.15313219458972,301.77552753129635,55.58641303895998,316.67239436108923,1740403310675,1740403313787,1740403317274,1290.2826942783272,799.2463891921446
10,30.62690186168059,312.55866607099546,44.83984828434797,306.15818543980834,1740403321775,1740403324531,1740403328840,1448.2717383038964,1329.8271572882752
11,87.03547014341103,158.34154530893784,67.47866400668316,137.72631099390628,1740403333341,1740403335943,1740403338807,370.8703424676795,933.9266453335771
12,36.12158719179581,44.116958528097825,53.38389994423216,49.59054318560601,1740403343308,1740403346382,1740403350023,1156.8530686167956,1193.072951874341
13,151.690570702838,9.303872452458336,156.5845793463516,335.01876039378396,1740403354524,1740403357450,1740403358690,200.4074287468581,1223.2967893021982
14,73.3519129819697,46.37777290955819,86.8989602234074,53.42696902148066,1740403363192,1740403366719,1740403368940,592.8207524626191,564.974265991282
15,55.67681883907072,152.4505677133178,55.794728882399184,155.55604521958344,1740403373442,1740403377392,1740403380857,607.7334967983526,1164.990075209401
16,128.54126068759672,331.9756992051919,82.58820858761209,294.98123960621604,1740403385358,1740403388172,1740403390523,264.3880137282314,496.7331705646068
17,47.71917988024244,144.67133391967036,60.95094272825905,148.68225816025688,1740403395024,1740403398502,1740403401690,770.58194725879,1087.178150729323
18,80.11487456019303,284.89167395146774,83.84287358502893,278.92640792673933,1740403406191,1740403409867,1740403412173,1457.0950598601341,387.476295434701
19,39.85406396613115,221.4609157090614,52.865962741087166,145.08059798754232,1740403416675,1740403421355,1740403425023,1004.4552097538111,1136.8918513819456
20,55.71100221411603,22.894464118411747,78.53053023611511,29.598625636273766,1740403429525,1740403433565,1740403436040,584.5417183733307,1384.1771354764721
21,45.92492302363404,60.121227480346306,69.87112744253501,58.68225816025688,1740403440541,1740403443942,1740403446723,1311.2885608773668,753.378046391161
22,66.2962384892503,146.91426623198106,77.57031949915434,136.04925594088007,1740403451224,1740403455717,1740403458206,540.086937960662,828.9427856761731
23,41.950143318045534,229.79733430351732,53.839170139161325,218.29016319224309,1740403462707,1740403466126,1740403469723,1107.8886648543016,936.3268682247717
24,142.8341904715185,307.4431337540502,125.59757313339301,283.7490489834193,1740403474224,1740403476565,1740403478106,345.46516944922666,264.5404052220009
25,43.879697732837144,320.1429856997239,63.358206597805214,33.69006752597977,1740403482607,1740403486867,1740403489940,890.6283911592673,1066.805013819778
26,56.531220858400665,229.35249772304346,62.55311803784665,221.241444314528,1740403494440,1740403497902,1740403501006,814.6720438290321,699.4308281661329
27,36.268564429681554,321.1085673986413,95.60670640883377,331.20207014983123,1740403505507,1740403508814,1740403510855,1062.7306133835395,1317.4595395741555
28,56.82517561965823,296.9150486945298,57.34325390685263,291.25050550713325,1740403515356,1740403518888,1740403522256,1166.2718344313555,592.0686850764021
29,76.29639215218133,42.46627705007785,60.66137111450647,44.58179005850292,1740403526757,1740403529796,1740403532990,533.0307679994266,582.3888170572602
30,40.27579438503018,228.39355370140706,49.34006972557356,229.3987053549955,1740403537491,1740403541366,1740403545290,1121.7660595024718,996.1762296080932
31,38.25989159772565,54.8734595349373,49.065140225100215,59.743562836470744,1740403549791,1740403553209,1740403557173,1362.7607239612976,958.7076466959008
32,92.87408710101803,286.2153208126769,58.080015336147355,299.3416547009803,1740403561673,1740403564585,1740403567923,1156.742830238827,336.4003037232598
33,38.248255510718025,310.5002191092879,56.02032019663149,299.7448812969422,1740403572424,1740403576169,1740403579623,1207.7116681510045,1031.4911968938118
34,29.138447987444945,46.78542124438496,31.523726225190025,51.47836457977286,1740403584124,1740403587493,1740403593656,1503.6053212495613,1412.6995221592156
35,35.76316988467754,146.9358953950067,35.36381473505768,136.25445162268153,1740403598158,1740403602276,1740403607756,1000.9440065066586,1537.5497338417895
36,36.717787926668564,311.8161677294362,56.52766168833338,330.2551187030578,1740403612257,1740403616083,1740403619506,1225.4240785824156,1096.2779583914185
37,70.67215327736389,73.21121071781624,98.70431226351539,78.45950225339067,1740403624007,1740403627814,1740403629789,1469.6328832472543,443.3945800181792
38,69.97110367856884,293.00765819683875,91.63532181846399,289.6538240580533,1740403634291,1740403637613,1740403639722,1096.9524220596345,465.80172477912544
