Trial, SoundSpeed, SoundAngle, MovSpeed, MovAngle, soundStart, startDragTime, endDragTime, randomHorizontalInterval, randomVerticalInterval
0,92.24525553472361,328.58649451075655,64.17328607517618,343.1587942638576,1740411398410,1740411403243,1740411406255,381.07490276620433,623.9701299064519
1,70.39228790254568,154.480160576843,41.67869120458148,160.06746343806049,1740411410756,1740411414660,1740411419305,472.25839289224984,989.2286484848634
2,116.66946990504309,168.24751628540287,178.48049932491108,167.18263176720484,1740411423806,1740411431886,1740411432972,262.6425479858024,1262.4282558197729
3,60.61427713311954,58.25090001336565,60.706069498194886,67.26658827331238,1740411437473,1740411443775,1740411446972,940.5784267632206,582.0271590562267
4,45.60734965764447,59.56187847905619,31.1742055955027,67.15195712838363,1740411451473,1740411459442,1740411465638,1298.4187716887104,762.9394848963399
5,39.30044053157023,129.82499638359616,28.070802281402997,114.71317688046588,1740411470139,1740411478303,1740411485205,1191.9063151625414,993.940178299209
6,45.9160726259447,310.0411055765995,41.86389249824049,307.8749836510982,1740411489706,1740411500191,1740411504821,1015.5889658314209,853.4226932029502
7,125.72315552629564,155.04297850830653,131.05210022981458,172.32758840022052,1740411509323,1740411516135,1740411517621,263.19553015363687,565.5317947714725
8,104.4682766079344,151.91201241184177,77.83929287376941,135.20987371156752,1740411522123,1740411526758,1740411529238,325.50462974792936,609.9237311003656
9,71.32653235810105,30.78545559233976,37.26090950251891,19.27609885346783,1740411533739,1740411540068,1740411545271,489.58889221126844,821.7672245801127
10,70.72813175042586,158.03192378645622,77.29388891089134,157.92471220042728,1740411549772,1740411556124,1740411558637,457.36773135788206,1133.8433277440868
11,156.54087064338023,115.58111103978729,183.3993794375916,102.46493284206497,1740411563138,1740411568543,1740411569604,443.83599936274663,212.47069841667684
12,42.72460925604646,40.864838914347615,45.54085889748549,35.089255199845354,1740411574106,1740411580248,1740411584488,928.4848543568443,1073.202330809101
13,92.03555069237457,162.43808662223546,117.89756743419541,159.40927210940265,1740411588989,1740411593798,1740411595438,341.896287456801,1080.2846835275109
14,36.0690493065252,308.35846777551205,36.757186881670314,325.7353522280823,1740411599938,1740411606205,1740411611472,1340.2601577578341,1060.69619141885
15,61.9583558543946,107.6537871446464,49.04078926932272,117.35893726655343,1740411615973,1740411623439,1740411627388,1596.6130856688778,508.1256621443589
16,39.13330319928869,234.81902884735388,53.356835201588495,244.62568271477932,1740411631889,1740411638541,1740411642171,1330.549286579507,937.9376336465056
