Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,88.37707136668398,71.00656642737604,1043,359
2,164.17549480827162,10.757402230654815,186,979
3,167.08714916474042,-13.945728883647215,185,745
4,130.945700219731,-45,324,324
5,163.90012519992675,-136.10595875228853,254,264
6,191.42766650401146,-103.24518873684515,684,161
7,253.45871352774608,-95.9334557077387,1145,119
8,117.22096684804254,103.31810580722298,1111,263
9,204.08933227620142,168.5110187978408,150,738
10,140.81686782979077,17.186453867344685,223,721
11,226.69232213898536,27.35528767950718,149,288
12,122.71147695290657,75.96375653207353,1008,252
13,302.1107600365624,-43.980609718544926,138,143
14,184.87916907125842,-20.28724222099274,173,468
15,190.05219464567423,-12.994616791916506,162,702
16,86.04641364902923,-52.750036422919294,576,438
17,329.15381657457897,-46.332219853869645,132,126
18,327.97624882963413,133.45184230102205,133,126
19,265.14890200755343,172.97411119840987,114,925
20,228.9014060312488,-73.06742054807653,450,137
21,237.78964076072734,-83.41410132119118,1100,127
22,201.52741012395228,9.650553695687133,151,888
23,88.99223267158038,-140.32275070776822,438,528
24,237.34894337561994,-105.23495833108434,481,131
25,308.561806522919,-45.2083473708062,138,137
26,258.78325537499444,54.16234704572171,198,143
27,96.60744410988515,76.77124754809222,1357,319
28,112.66242417775571,81.8485425296085,1878,269
29,238.4434193575148,86.90329012600753,2329,126
30,221.33747494417247,-79.16458757815317,721,138
31,195.96900659022918,9.01478242572463,155,977
32,220.28104879485556,-6.2348595202004296,137,1254
33,205.82142881062714,-15.142109422557127,151,558
34,295.6597874273707,-134.80036394547562,144,143
35,362.7778435280963,135.9793196543395,115,119
36,208.27509292966897,96.59581814490672,1254,145
37,218.99508585990074,173.06161419466378,138,1134
38,57.416241154647686,-45.465178786960564,745,733
39,339.4112549695428,-45,125,125
40,251.6618824854002,6.588223874066412,120,1039
