Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,103.31898178413965,-43.60621709733715,401,421
2,124.96789087885912,-13.612524604962418,247,1020
3,201.0158834631504,-10.931424144630517,152,787
4,220.22331748337206,128.05403237923719,221,173
5,243.7252880083214,167.6609127216738,126,576
6,273.53472657470775,164.1676133795778,114,402
7,44.22024756801494,135.38813639387467,953,966
8,28.968429877559398,62.73981697620812,2261,1165
9,91.32107633004348,-50.4575534851046,516,426
10,85.68887710648873,-73.05160724240442,1201,366
11,68.66435704216339,-44.35104643080496,611,625
12,201.0836423547461,-5.950966042960863,150,1439
13,96.163657270259,-21.80140948635181,336,840
14,46.515774455517146,163.98015620420296,671,2337
15,173.04335548367558,-172.16650273250013,175,1272
16,193.1842628693239,-5.460212592148354,156,1632
17,80.92111470808139,-45.9284489942607,533,516
18,169.44772081310072,13.39925672263718,182,764
19,108.78565864408424,-45,390,390
20,193.93656245052176,-163.90553783781476,161,558
21,121.22464455016713,141.32255142026253,317,396
22,220.22073975904357,139.55635843848924,179,210
23,136.89635627135573,137.76132215943136,296,326
24,151.84690896052254,165.57341810164823,204,793
25,81.98425018482615,4.388626619477594,367,4782
26,188.74918799970618,31.293038995920195,186,306
27,197.48276612003556,29.765041668915664,175,306
28,176.11011554880096,19.75458276754834,181,504
29,160.96747292244294,19.732689499661006,198,552
30,219.6210139240415,66.45856660474962,342,149
31,149.41547961609328,52.52382043863863,330,253
32,200.43173296945997,66.67347653896347,378,163
33,93.64835736486457,40.927762789995924,424,489
34,160.10585695432144,116.84050953321324,415,210
35,125.04135453026849,114.66129547842534,575,264
36,192.90110318429993,134.21874233839137,223,217
37,194.67580711263744,98.94590422394297,991,156
38,95.83922343516221,-129.03739274321333,497,403
39,171.18173676763752,-104.47770974947181,701,181
40,112.24034991425513,-45.1515757826683,379,377
