Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,36.14344772681999,-35.05849475977682,1014,1445
2,21.037605740183956,-131.43157879944198,2155,1902
3,249.68371231968942,-136.0109970523304,167,173
4,258.2803991266638,-138.1221304621157,156,174
5,253.8778001698757,-130.7573426827113,181,156
6,237.11892297400405,-135.96017456666635,176,182
7,282.9555563707323,-42.14708868921364,143,158
8,215.45934981679187,-41.53177074108285,186,210
9,240.6290158318597,-42.08916217383224,168,186
10,164.91000416365787,-14.614403910231845,188,721
11,138.22195749664465,-169.1403009666843,221,1152
12,297.7165448588531,-40.236358309273825,132,156
13,259.92963750863476,-46.92665445246415,169,158
14,265.22719990476423,135.71615994547042,158,162
15,279.8311722019038,48.56463897211568,162,143
16,254.54282766157627,42.94235405305172,161,173
17,92.88147496168878,-151.3657216783655,368,674
18,162.58471242137384,-4.13172175645166,185,2561
19,244.15393745234402,131.07728710948953,187,163
20,242.86455195541626,-43.03634246594804,169,181
21,267.9360182983953,38.465190186297434,143,180
22,27.01213199154379,59.80168031287488,2208,1285
23,180.39981948488156,-8.164349677939331,168,1171
24,268.11891970176373,-138.23970029610214,150,168
25,144.53718941138902,-10.361635496652642,211,1154
26,127.10654495045678,29.054604099077146,270,486
27,271.2112572205596,126.7209488145402,185,138
28,268.6892968046545,129.64417495714483,175,145
29,191.15235499147718,-6.63154722223476,158,1359
30,201.97188734476606,-107.79598892393038,486,156
31,174.0051084818425,-163.30075576600638,180,600
32,161.33525894194648,-158.3944727573615,200,505
33,167.52530322739494,-174.1965294924329,180,1771
34,152.38727859458453,24.875986001341847,217,468
35,249.49893555780528,40.015885017421304,157,187
36,154.51904117662536,25.99315222641625,216,443
37,204.45181281714477,11.97848246181875,150,707
38,244.15393745234402,41.077287109489525,163,187
39,247.3339367084363,58.017112189077494,229,143
40,255.4187853810689,40.732106699709185,155,180
