Trial, RandomSpeed, RandomAngle, UserSpeed, UserAngle, StartMovementTime, THor, TVer, THorSecond, TVerSecond, randomHorizontalInterval, randomVerticalInterval
0,42.11609914752848,34.21760357772456,22.193607470848693,39.547111671941764,1741185650569,1741185656771,1741185660318,1741185658524,1741185662441,861.4220920493383,1266.7067867099968
1,39.96549811725436,137.07308362462004,25.065367661738808,132.13591281940433,1741185666244,1741185672328,1741185675635,1741185674112,1741185677249,1025.1623326401734,1102.1672657069653
2,52.40567730015399,26.839990239225017,21.737209347298514,38.35692589741876,1741185681061,1741185684684,1741185687368,1741185686444,1741185689592,641.5731556812885,1267.8992841892407
3,117.4112848292437,130.2862875724955,78.89731926823626,133.24496811225566,1741185693394,1741185700057,1741185698591,1741185700612,1741185699113,395.1580696507342,334.9558575841007
4,45.33634204785941,310.89123490910555,35.9293602530513,318.08885053523113,1741185704428,1741185707774,1741185710235,1741185708896,1741185711485,1010.8391989356896,875.3457470775792
5,95.45244223579073,283.55123114376147,64.00343414636878,296.1113610480384,1741185715294,1741185720048,1741185718794,1741185721113,1741185719316,1341.3269267146018,323.29285505060903
6,126.5852182680161,258.84959138568536,105.57791506763428,251.86680364463922,1741185724928,1741185729382,1741185728081,1741185730295,1741185728380,1225.504639185966,241.55434040840834
7,83.24345073602946,254.1298375027643,45.75014441556903,234.05200474215465,1741185734111,1741185738624,1741185736932,1741185739741,1741185737742,1317.892548657308,374.66967893881304
8,59.22542605352372,309.2042466997748,39.416036600352186,315.50561614117106,1741185743544,1741185748881,1741185746713,1741185749948,1741185747799,801.3760927345812,653.6853052085728
9,67.66910523714161,207.45898822610667,34.438486780659304,216.80679659259707,1741185753760,1741185758441,1741185760436,1741185759529,1741185761890,499.6204574032095,961.4415949227802
10,37.605749467992325,59.581030764996115,30.70507711013545,47.0889524758573,1741185765693,1741185772164,1741185769563,1741185773599,1741185770897,1575.5875104281952,925.0930314413986
11,83.60143581567341,69.3573346093724,44.39527719135802,58.32796153067153,1741185777410,1741185782398,1741185780711,1741185783685,1741185781505,1017.8900204387808,383.465009380726
12,67.0845910937284,308.2072544494917,60.570796425820525,319.3304813588084,1741185787494,1741185791962,1741185790064,1741185792615,1741185790824,723.0248650490987,569.1127136278787
13,30.259391595900794,140.77367021078317,33.77463314846926,136.52600774558653,1741185796427,1741185799318,1741185801886,1741185800542,1741185803177,1279.8330347773506,1567.7588429955688
14,51.29977641759587,309.65978641403296,35.628943485157656,317.23117460803127,1741185806994,1741185813280,1741185810700,1741185814427,1741185811940,916.2841354651688,759.6280113655589
15,31.662712377226086,135.60448547208642,53.15995592563928,130.6666137649259,1741185818244,1741185820874,1741185822666,1741185821740,1741185823410,1326.0326583023093,1354.312045808868
16,153.2793967892448,103.03394626368839,105.96998831599491,118.78086060156357,1741185827227,1741185830877,1741185829658,1741185831465,1741185829981,867.833515493897,200.89680218973513
17,98.80135510167885,12.203945623455354,83.96834961178,29.12745732240188,1741185835277,1741185838698,1741185839623,1741185839107,1741185840357,310.6600614261939,1436.380797315819
18,52.43367006087885,296.65561050181225,62.77976448813416,297.5547070932921,1741185844160,1741185848407,1741185847177,1741185849440,1741185847716,1275.3396177513623,640.1914897156302
19,77.59180084587457,228.41775673608882,76.78961425249261,231.38486680860123,1741185853244,1741185860031,1741185858499,1741185860657,1741185858999,582.5554257422432,516.8941423910786
20,43.899222911605406,31.678222686828406,45.89888506357808,42.743966482893086,1741185864460,1741185868529,1741185870380,1741185869419,1741185871343,803.0255520336602,1301.3152357830386
21,67.63885604685319,130.14496171617657,49.29433609569585,128.7172116457922,1741185875160,1741185880778,1741185879197,1741185881751,1741185879977,687.9412856019553,580.2236159245257
22,35.53591047484264,48.09168620772067,72.22842172560992,44.36611511135959,1741185885560,1741185889327,1741185890881,1741185889908,1741185891475,1263.9095564648828,1134.3722715029198
23,41.32698489056095,40.78550988060147,53.60641809954054,45.39813229990045,1741185895277,1741185897777,1741185899661,1741185898574,1741185900447,958.7374877908518,1111.27612531361
24,113.54242327694796,112.25991665591368,84.1500791487245,129.04046471189827,1741185904260,1741185907807,1741185906615,1741185908373,1741185907074,697.4981071098715,285.4949467630704
25,31.400657091375678,46.26343715428101,52.78712883205419,42.02075148487165,1741185912177,1741185917691,1741185919273,1741185918456,1741185920122,1381.9379880484878,1322.296864302323
26,28.93933856772598,135.848343877042,48.83825060346932,138.2779641298954,1741185923926,1741185929290,1741185927374,1741185930113,1741185928297,1444.8128669373152,1488.2440364557278
27,59.20981559141449,42.838069811146624,59.901467875446805,47.89857679928173,1741185933926,1741185937310,1741185938779,1741185938057,1741185939454,690.9692833918043,745.18514379589
28,37.69038970825737,323.7937543130714,51.3888575615947,321.0178876470084,1741185943260,1741185946490,1741185948139,1741185947241,1741185949067,986.445517424939,1347.4986537194939
29,46.03988147950113,60.33150190318793,51.358485257182544,48.00191131230315,1741185952876,1741185958300,1741185960139,1741185959173,1741185960925,1316.432272750536,749.9207406716166
30,73.91230603620124,165.30102812334565,65.98875119291569,147.01232534314988,1741185964726,1741185969397,1741185970593,1741185969939,1741185971428,419.6195838329862,1599.6116589755763
31,53.06353975463937,237.78328928414766,58.35187223253686,234.43780540185696,1741185975243,1741185979508,1741185978315,1741185980392,1741185978947,1060.4680193289164,668.2443794746173
32,35.96975054420045,140.48613357268584,54.58674601382402,133.52742510872002,1741185984210,1741185988411,1741185986748,1741185989209,1741185987506,1081.0964396850893,1310.828368003692
33,48.448330463409725,326.3886448656373,56.46017619695973,312.8704607850618,1741185993026,1741185996124,1741185997773,1741185996905,1741185998498,743.5252110091752,1118.6143789360917
34,47.40143106873647,217.0950957859299,56.803584899321756,221.75886386339312,1741186002310,1741186008856,1741186007230,1741186009564,1741186008023,793.4604704582705,1049.329478955714
35,36.8501221249104,121.03366566114613,35.10603603593234,123.43355925829991,1741186013376,1741186017393,1741186015706,1741186018944,1741186016730,1579.132517513684,950.1018385411813
36,44.97668673315844,153.8601962892801,42.275126551080064,142.62376262382554,1741186022759,1741186026456,1741186028140,1741186027349,1741186029309,743.005548988636,1513.9998944492977
37,119.77676327383666,164.19836005229047,80.91833370356682,154.14025896472526,1741186033129,1741186035579,1741186036447,1741186035991,1741186037297,260.3027315266116,919.7898640671744
38,50.13940797048532,207.36666516123483,60.947843549191504,208.66911625840635,1741186041103,1741186045208,1741186046403,1741186045769,1741186047429,673.7340641971825,1301.617701322164
39,42.51647270473134,137.3461042664037,54.3063108671055,130.3625867422486,1741186051242,1741186056849,1741186055290,1741186057702,1741186056015,959.4115427582639,1041.384443428529
