Trial, SoundSpeed, SoundAngle, MovSpeed, MovAngle, soundStart, startDragTime, endDragTime, randomHorizontalInterval, randomVerticalInterval
0,79.06898900607833,110.9126882777083,72.31304593157925,107.12448961347252,1741165463991,1741165479557,1741165482234,1062.952656118936,406.171890102674
1,88.67224071991247,157.8051095262183,84.99594528067986,172.58134993988654,1741165486735,1741165490623,1741165492901,365.39910710093415,895.6114776498624
2,49.84902575445482,63.05296151183762,53.719976125510726,38.706051811048894,1741165497402,1741165502782,1741165506384,1328.026035024779,675.1175297661702
3,51.80819213947551,141.43049877134752,51.678321266164296,133.74554837731847,1741165510886,1741165517052,1741165520802,740.6243945456484,928.7777064087809
4,30.87976715011027,230.4103492265911,34.38891906654609,243.30262624174816,1741165525303,1741165538171,1741165543802,1524.4517234844707,1260.6724045967023
5,76.87641530227015,207.15445761264482,44.49955809387762,207.3589372665534,1741165548303,1741165552600,1741165556952,438.57691897037785,855.0494518262127
6,78.55482829791272,287.223014953187,73.69955219271995,282.81736823279516,1741165561454,1741165565006,1741165567636,1289.7990893394724,399.8273238533387
7,64.2961831089807,215.1923428604599,76.89698154038653,198.62157936648757,1741165572138,1741165576428,1741165578953,570.9473373761887,809.5991265317095
8,38.62013989148011,30.16148889838655,35.9524006307327,32.5393744635586,1741165583454,1741165592375,1741165597753,898.4332101459534,1546.0521654760855
9,30.131922885527974,141.43219757025048,31.48578729850335,153.56757770527418,1741165602255,1741165609784,1741165615920,1273.383843507693,1596.9801620318642
10,51.23688760014397,125.41674224398224,52.118801362423625,114.05252941304883,1741165620422,1741165625001,1741165628720,1010.3470662694946,718.460713619739
11,61.979209721988376,22.850658523508514,99.15007782851119,13.038656583022998,1741165633222,1741165636187,1741165638154,525.2552194804841,1246.4466935879022
12,61.25872984452978,62.03035759716846,57.60492208222298,35.74427225544781,1741165642656,1741165647780,1741165651138,1044.1839665086195,554.4930005703668
13,48.22995030533541,207.88661048574102,41.81840650685161,204.71317688046588,1741165655639,1741165661439,1741165666072,703.7422272602616,1329.889202316675
14,50.91955261017935,153.25920619616033,47.42482072910359,161.0033458445114,1741165670573,1741165677624,1741165681705,659.7209738298811,1309.3858366954776
15,110.96679185166288,326.2712901597031,46.97715053363073,336.8791513375753,1741165686206,1741165693602,1741165697722,325.06787901118156,486.89001710132146
16,117.85548537515285,59.92647079673941,139.34000756594597,288.24892421841446,1741165702224,1741165709958,1741165711356,507.969379635982,294.1460905869145
17,38.158378270496854,36.63134063223026,32.21825876474533,45.62959860841028,1741165715857,1741165722331,1741165728323,979.6953693926898,1317.6545479223935
18,32.66866887523029,306.94692273212587,33.23236318117384,294.7131768804659,1741165732824,1741165743060,1741165748890,1527.7813380525445,1149.0484000884326
19,142.12705987609408,279.7108315012121,88.93925739521761,277.41865006011346,1741165753391,1741165758063,1741165760240,1251.3877867017911,214.1471206896993
20,52.13974016527003,240.50695502578077,77.89564395428117,244.3589941756947,1741165764742,1741165772815,1741165775307,1168.7100018621995,661.0370384064746
21,87.48301938349024,139.84200895606847,41.29635960694173,148.8348531566587,1741165779809,1741165786248,1741165790974,448.69497641924397,531.7491390252519
22,41.9493734269244,223.67055024602766,59.995930812407416,210.14966170101576,1741165795476,1741165801806,1741165805025,988.6987962735542,1035.67943358475
23,40.70075837357169,119.05501193031375,36.90566099937508,153.30262624174816,1741165809526,1741165815795,1741165821042,1517.7355866564278,843.2005746588553
24,47.24793929901746,210.25001003210048,44.03594721538618,197.1244896134725,1741165825543,1741165835780,1741165840176,735.0339130005025,1260.3829595018415
25,38.59987462296605,132.80771986073455,31.265786855275216,108.34148107628613,1741165844677,1741165851226,1741165857426,1143.7213637730047,1059.3838739136665
26,33.791462584640186,146.07205604876958,34.143001984649196,155.9474705869511,1741165861927,1741165868016,1741165873693,1069.971355081488,1590.6090599247477
27,125.51532874071977,250.57980200398976,154.50984116108916,260.394795844987,1741165878194,1741165883146,1741165884426,718.8547945706223,253.43360818357814
28,36.55337627501503,48.440515777596374,64.18673665767803,294.98123960621604,1741165888928,1741165893618,1741165896643,1237.1435309471497,1096.8239877994401
29,41.66820453825047,129.17985227464953,56.4039493229869,121.31774183974312,1741165901145,1741165908714,1741165912159,1139.6370777424581,928.7982000141357
30,29.952780149936665,220.7317633345922,43.06723191875157,211.4716845336273,1741165916660,1741165923552,1741165928044,1321.737322327586,1534.9393647083004
31,147.81610719758706,262.67191556794313,223.83903277385983,262.58134993988654,1741165932545,1741165935635,1741165936500,1591.1691668354554,204.62625691807744
32,80.78144178546431,51.52411500941946,153.82444707842242,76.80938928779312,1741165941001,1741165947429,1741165948711,596.8840634007338,474.37298733166193
33,40.55221293151833,131.26201325752083,50.538120256929915,147.86917467266898,1741165953212,1741165961930,1741165965762,1121.733348057604,984.1499008270175
34,30.790333170539782,43.87445153733336,50.8410169080912,46.88818800674096,1741165970262,1741165977146,1741165980945,1351.6237041914794,1405.798935540635
35,31.801601882487102,52.54861799906871,41.740581795926694,70.34617594194668,1741165985446,1741165993460,1741165998090,1551.3357998525694,1188.291739585135
36,63.521078139093774,108.16674192166948,48.219825297440025,95.03378695620006,1741166002589,1741166006985,1741166011003,1514.7827342191586,497.06108452697754
37,74.50546049331167,248.23057700343645,65.88486430226094,255.67728002179643,1741166015504,1741166019390,1741166022335,1085.6973537973452,433.57600874313454
38,57.31089056337024,331.3117919721764,48.42543710074801,341.2837320980664,1741166026836,1741166031511,1741166035501,596.7098492141145,1090.4455637517217
39,50.84957930194333,204.5896435549009,40.817935857705045,191.3099324740202,1741166040002,1741166044637,1741166049384,648.8156008369715,1417.8132118547453
