Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,103.46613031608162,-125.69005982501398,497,357
2,199.69513524450124,-135.6740368979845,210,215
3,128.7769632497926,-103.91096135087174,969,240
4,110.439002193852,-31.0276670237078,317,527
5,69.61898968908774,68.86295591892105,1195,462
6,158.10808870228115,173.42461768353036,191,1657
7,2308.898645688507,88.14779688595809,402,13
8,65.51766916452793,-47.20598864519359,674,624
9,32.90659947471888,-37.81357913014049,1154,1487
10,166.2746661169452,-125.99406834360397,307,223
11,52.17103845554982,-130.0317622696993,894,751
12,137.62222618424866,-12.170419997061082,223,1034
13,102.07517296497318,-168.42707235232174,300,1465
14,99.11480841688439,29.856390988891714,349,608
15,171.6348467459586,-29.58776346541862,201,354
16,185.73643528529067,-172.27102840475317,163,1201
17,89.58452477624233,162.05664419686136,352,1087
18,173.726300450233,78.86271894339632,894,176
19,28.469488573418406,51.95837858458437,1710,1338
20,86.18742023757677,-165.83110571679458,359,1422
21,53.153667358971056,61.04980532597518,1166,645
22,57.72015126725052,-65.7609648734209,1266,570
23,53.001729210630074,-113.66773687211142,1410,618
24,50.0580143033908,-66.40074623055966,1497,654
25,100.54816749125386,77.17362481772723,1344,306
26,25.43811192850742,-34.73112074528732,1435,2070
27,121.26505166724505,113.12171295644977,630,269
28,142.9863684715234,-19.075098492445544,222,642
29,125.19429767894094,-155.1866919363054,264,571
30,113.47068318669011,140.42606337745585,343,415
31,102.54451950614643,39.28940686250036,378,462
32,122.46908039365852,-21.344937734691104,263,673
33,129.80912308246812,-164.35527374277063,240,857
34,110.64742348652757,-46.78991060824607,396,372
35,64.29536268550102,122.94398994216004,858,556
36,92.57298602735835,-29.40718906073366,372,660
37,86.8902839517637,147.80426606528675,408,648
38,59.15518429019924,-25.94877752391734,564,1159
39,42.12528282182758,130.88630295506115,1088,942
40,57.613176865895916,-19.3827104055695,552,1569
