Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,302.1107600365624,-136.0193902814551,138,143
2,190.77724930250753,-102.38803212139244,733,161
3,74.00340640392086,-129.97484751013937,631,529
4,185.08711820765623,133.3776774125022,236,223
5,224.5631996970309,45.90938044919914,192,186
6,180.7052493474168,21.956983369567553,179,444
7,201.63899637605348,80.16473303438116,871,151
8,85.32323114293759,121.86597769360368,666,414
9,226.6115920030865,-40.46222749209335,174,204
10,180.11670018814732,-101.54811217160038,832,170
11,210.52125577248614,-171.73234272699614,144,991
12,84.62069186333541,-41.03534527714388,470,540
13,84.85187747338007,-50.68264670545916,558,457
14,185.38513765595374,170.65886946507013,164,997
15,83.78602022934409,148.48592739701115,420,685
16,261.7131067005049,-137.29061004263855,156,169
17,147.88576094325282,-111.479727267116,554,218
18,187.00727583398753,-98.00472885729287,1152,162
19,162.28692693853907,-159.00714662688583,198,516
20,92.2235063020647,-35.58612677375776,400,559
21,232.50404612035885,-47.503139779584906,191,175
22,42.3228816337845,-39.902337205661674,924,1105
23,149.3752295503595,-72.14430862333809,655,211
24,194.6522333605952,-8.901716032891994,156,996
25,183.0215665613322,69.49764019877733,468,175
26,101.68298384577236,-55.73348520146815,524,357
27,163.1240391720026,8.59908871077748,186,1230
28,165.46063239164155,82.21190420610523,1338,183
29,152.6937900379018,165.4299068881049,203,781
30,157.62994736693054,163.98882252119154,198,690
31,166.5421916494352,104.42714428054968,723,186
32,190.748373167914,-103.87171906868417,656,162
33,207.41012285545543,105.36161631184866,546,150
34,85.58748696544556,140.23558966179843,456,548
35,219.65396454286525,171.76902489880968,138,954
36,57.63188560592512,-35.06834668029092,636,906
37,177.0411442573833,-61.400881541232884,354,193
38,163.9192852555523,-79.72464183512186,1026,186
39,186.71068210717738,-9.685942815108412,163,955
40,227.90239191400724,136.9960958860095,180,193
