Trial, RandomSpeed, RandomAngle, UserSpeed, UserAngle, StartMovementTime, THor, TVer, THorSecond, TVerSecond, randomHorizontalInterval, randomVerticalInterval
0,67.6300908713937,204.89335243339315,58.10878831406492,209.29841445518122,1740406877182,1740406880254,1740406881686,1740406880845,1740406882741,489.0232824484047,1053.8306185812776
1,116.16395634536491,330.2649937797928,59.013698540630806,326.1653559968361,1740406886556,1740406888880,1740406890207,1740406889492,1740406891120,297.4169627126176,520.6879937161069
2,32.09956701399717,127.87339978458772,57.845337776635674,114.51298580666929,1740406894923,1740406898020,1740406900841,1740406899270,1740406901411,1522.338225832069,1183.9733030858006
3,87.89588384401063,314.128369478645,66.48495062463796,320.4737625746631,1740406905221,1740406909324,1740406907738,1740406909909,1740406908447,490.2031567846756,475.5107885529517
4,80.77628097224697,18.43548982326928,58.844611675701735,298.1109515370171,1740406913723,1740406919488,1740406917874,1740406920570,1740406918452,391.4871513358246,1174.424489908662
5,35.36427701701184,224.82047039556267,26.94106644535061,224.4543424065843,1740406924373,1740406930136,1740406926939,1740406931696,1740406928529,1195.9552041030179,1203.473557284492
6,113.22925009745299,60.569990034112266,74.91468467866851,50.90274439931437,1740406935505,1740406940225,1740406939020,1740406940860,1740406939536,539.2160625482275,304.2048433153511
7,41.41028291831028,210.5734037283144,51.85794303600187,206.7788404069551,1740406944673,1740406947977,1740406949389,1740406948625,1740406950672,841.4356106438207,1424.2984454515183
8,120.49786376753669,260.3995185806266,162.98122106727527,258.2645815468828,1740406954489,1740406957929,1740406957230,1740406958834,1740406957418,1492.8138918273582,252.503472403716
9,124.62120814764909,283.4269988913951,123.77674308355026,298.1940846683767,1740406962639,1740406965484,1740406964734,1740406965997,1740406965009,1036.705392345656,247.49436174326624
10,73.4680179667702,232.59932160027432,75.82738782971752,234.66090653523028,1740406969806,1740406973803,1740406972658,1740406974487,1740406973143,672.2931605733465,514.019546764198
11,29.951548216401786,128.9225910582092,31.789666298738965,130.00462030047618,1740406978289,1740406984451,1740406981826,1740406985919,1740406983058,1594.247526758787,1287.4337776753014
12,116.13728596100191,190.8004782640585,95.04900615480513,201.40058606658351,1740406989722,1740406993663,1740406994645,1740406994002,1740406995510,262.97336661027816,1378.492149559433
13,77.32317831812455,194.28740839286206,62.74490643280921,209.8025744991505,1740406999322,1740407002025,1740407003224,1740407002576,1740407004186,400.36528463889874,1572.1390276455818
14,167.20808315425165,46.968882801031214,159.0535162206413,41.79648904680221,1740407007989,1740407011293,1740407011936,1740407011546,1740407012219,262.9225648990451,245.44635638131325
15,46.31262811993362,227.02385722268826,26.98921799882867,224.81776213008501,1740407016022,1740407021486,1740407018419,1740407023053,1740407019996,950.238232138497,885.3720412564787
