Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,65.90922360867708,-39.27638608107621,588,719
2,167.93199508428563,-97.03794076318468,1458,180
3,208.33333333333334,36.86989764584402,180,240
4,235.50219705013205,40.288469053898446,167,197
5,111.73862179813099,-15.034733372306361,278,1035
6,255.0906887274099,131.07242337378253,179,156
7,222.2168419013638,-111.39981013208224,370,145
8,109.09374266543067,-136.8381297035738,377,402
9,53.05799599076493,31.89936927109405,666,1070
10,113.1664062396971,-78.01866334312982,1277,271
11,40.30544046391056,19.98310652189998,792,2178
12,83.89696384268493,-137.37184218978922,486,528
13,106.0322081513071,-66.72419150141384,716,308
14,166.8402231010102,14.819759320615638,186,703
15,192.21672313345104,83.77345551634876,1439,157
16,203.89875908316938,-101.22245806944484,756,150
17,26.432563109487504,-141.96386232183806,1441,1842
18,148.7599336028214,110.98975886876876,563,216
19,168.1426131400218,111.67858913961435,483,192
20,150.08734650284896,51.05568486593389,318,257
21,59.57029389232696,-74.74488129694222,1914,522
22,148.82831299056093,164.68136050310738,209,763
23,261.210330057088,150.46742261149336,132,233
24,315.75857145535565,-136.49063183526232,131,138
25,240.57363587611175,-81.76861965802013,871,126
26,167.97272221608665,7.149585721114992,180,1435
27,209.181320259783,-98.47604736517359,973,145
28,31.97257850642295,-68.5688327237668,2568,1008
29,109.48586385021122,167.19172681652466,281,1236
30,38.401963492687,111.9051206738306,2094,842
31,118.60651849698263,-72.64597536373867,848,265
32,76.78277733029114,-28.119100927300128,443,829
33,126.1403902080118,71.35737507664803,744,251
34,137.64043826571069,158.04625349724517,235,583
35,42.04416630529909,-125.45828415293282,1230,876
36,48.59472130472444,-138.13278926055446,829,925
37,71.70411721496708,23.434806314858896,456,1052
38,118.895243337197,-69.15226326715522,709,270
39,161.6217687640272,-104.81346411880467,726,192
40,146.95466632731498,174.76400556549137,205,2237
