Trial, RandomSpeed, RandomAngle, UserSpeed, UserAngle, StartMovementTime, THor, TVer, THorSecond, TVerSecond, randomHorizontalInterval, randomVerticalInterval
0,49.58012397384736,246.58274823362245,38.913283090854094,221.47734532777417,1740558145822,1740558150465,1740558147995,1740558151494,1740558149159,1522.5071056460658,659.392002040151
1,72.49205926594121,74.94969878091939,67.78193526815771,46.417244135013334,1740558155298,1740558161506,1740558159322,1740558162148,1740558159933,1593.7277570807169,428.53804296598486
2,95.55894042635478,59.82227810803789,50.55376439176826,57.45156709427056,1740558165965,1740558171428,1740558168845,1740558172531,1740558169549,624.5324251868749,363.16153238355935
3,59.925779584218844,143.95633045868067,67.11283609885541,123.97011942216136,1740558176348,1740558180182,1740558181928,1740558180982,1740558182467,619.1424805095244,850.8120778930665
4,32.40616459337621,42.83058936765775,36.397887942863285,44.16470047656611,1740558186282,1740558188579,1740558191253,1740558189728,1740558192436,1262.3280940467555,1361.7313024852526
5,57.900279911091864,202.51122812771732,42.08858418622109,223.212747265274,1740558196248,1740558200179,1740558202528,1740558201157,1740558203569,560.8678008339123,1353.3044801034323
6,39.08284955888813,54.437749608226795,46.88174230383312,62.11042691063079,1740558207382,1740558209549,1740558212611,1740558210917,1740558213335,1319.8368434367321,943.5957035255512
7,70.03463890925491,115.12925260523326,63.83822118546276,120.06617493031047,1740558217148,1740558220140,1740558222269,1740558221078,1740558222812,1008.7075169839592,473.1412856250047
8,47.49064526857186,148.68168187231527,55.40240565717612,150.36229784463137,1740558226615,1740558231731,1740558229020,1740558232354,1740558230115,739.4460509701265,1215.2996451169242
9,46.98569152997712,115.36405196888563,67.45844372861724,117.19748094797262,1740558236165,1740558238396,1740558240402,1740558239369,1740558240902,1490.5217609305344,706.6060871845098
10,55.384905189296994,128.67208650965756,49.06673394844693,132.32703701629453,1740558244715,1740558247261,1740558249490,1740558248169,1740558250317,866.8530193918077,693.7871192765342
11,98.51924633219005,163.44822763807474,71.74495500275297,151.23731778550552,1740558254130,1740558259133,1740558257051,1740558259610,1740558257920,317.67251756909286,1068.896731403478
12,120.30168552062699,141.65430206708686,107.23850926087347,129.58664020638685,1740558263415,1740558265778,1740558267237,1740558266217,1740558267600,317.9636009423079,401.95221298397905
13,42.49579792216493,318.03898949276993,37.76765985430158,315.53545898556456,1740558271414,1740558275983,1740558273244,1740558277096,1740558274378,949.3708423637768,1055.8271396572009
14,51.2041488334792,67.82288229186122,53.97787521096282,58.47677832476609,1740558280898,1740558283182,1740558285278,1740558284245,1740558285930,1552.1458308609854,632.6959809443522
15,43.30090305820852,30.60674064922705,31.862940951237885,47.550989106015834,1740558289732,1740558291852,1740558294668,1740558293247,1740558295944,804.9733690616317,1360.7702329158262
16,49.7350512990096,128.24928533058892,49.61458548703127,124.19093471587746,1740558299748,1740558302614,1740558305031,1740558303690,1740558305762,974.3365550420475,768.085299938221
17,113.30782461134883,341.4036221559375,59.381354008507024,331.47688139368796,1740558309564,1740558312111,1740558313515,1740558312686,1740558314573,279.35077791615373,830.2476627554831
18,45.028031230269015,45.14308925126272,37.88553495452059,50.312799042652216,1740558318382,1740558320154,1740558322444,1740558321394,1740558323473,944.5840432562144,939.8778188229915
19,28.673277739211272,137.83997637379156,26.90452332837544,127.42042013610063,1740558327281,1740558329177,1740558331946,1740558331012,1740558333350,1411.450590456624,1558.7973795890368
20,37.71656778335686,57.60698664701778,24.489652848408806,48.64386392421085,1740558337165,1740558339148,1740558342181,1740558341002,1740558343813,1484.7321808696151,941.9857494168065
21,33.25617946153082,132.55917658124685,34.80838983856903,126.70424812769124,1740558347615,1740558349586,1740558352528,1740558351028,1740558353603,1333.7565139714395,1224.6992805128868
22,30.44518456210599,47.90080287771656,32.00185320203675,52.03922482882933,1740558357415,1740558359240,1740558362217,1740558360764,1740558363406,1469.7996155516983,1328.0284536109484
23,43.1423017424106,319.9075240864752,33.41402399570147,313.01886044603464,1740558367215,1740558369595,1740558371916,1740558370911,1740558373144,908.9774562071532,1079.7331798992645
24,44.55146697380419,135.53590373019574,32.42765960038559,133.9496221115358,1740558376947,1740558378523,1740558380972,1740558379856,1740558382257,943.5174199537173,961.3345621722057
25,116.36443528991967,283.8961384650491,75.47401693819504,290.36887673630497,1740558386065,1740558389121,1740558391328,1740558390263,1740558391752,1073.4840041362231,265.58365441227875
26,31.85795717761685,322.50378468833946,44.34743241416262,322.2113484475737,1740558395565,1740558400194,1740558397964,1740558401050,1740558399068,1186.9014620187986,1547.011675822072
27,71.08431184292427,71.61901784261966,46.04651366101928,59.13586510077948,1740558404865,1740558407895,1740558410136,1740558409165,1740558410895,1338.3712600510223,444.72351863209656
28,67.62919880816483,20.41938253188198,50.5312704043483,38.1545933882573,1740558414698,1740558416294,1740558418417,1740558417049,1740558419378,473.3380384346229,1271.4509522622193
29,70.60376748985087,296.4933868001927,65.43744138588183,320.51640015675196,1740558423181,1740558426412,1740558428046,1740558427006,1740558428767,952.5033139728151,474.7633726432313
30,56.355353494676116,128.09791986657285,49.14099367617633,123.60607377325033,1740558432581,1740558434812,1740558436895,1740558435915,1740558437628,862.7714603823102,676.4486590331694
31,102.09370673182879,295.8258142687595,52.99631151869175,304.6352833549961,1740558441431,1740558445466,1740558443860,1740558446462,1740558444548,674.5246645669794,326.45296830705075
32,59.053453075742574,337.3880106909374,50.90275306511015,321.8931514740965,1740558450265,1740558454322,1740558456506,1740558455071,1740558457461,550.317336919753,1321.2731330085155
33,55.59229321101422,289.9973383635331,36.191175920725115,308.28183168444764,1740558461265,1740558465551,1740558463409,1740558466889,1740558464465,1578.0124115909193,574.2665319357936
34,99.38996676674297,255.2702456830387,83.77404303727148,248.83874018317172,1740558470698,1740558474446,1740558473211,1740558475438,1740558473595,1187.1354825280491,312.09817585502935
35,58.734061573138604,37.106409423313266,46.617290878227465,47.13503810605772,1740558479248,1740558481059,1740558482970,1740558482005,1740558483848,640.4593541962715,846.6421898732793
36,134.1862148312955,188.64942524777132,83.36258503146068,204.02259782738247,1740558487664,1740558489412,1740558490512,1740558489806,1740558491396,226.14181678389232,1486.618482448278
37,119.29884181373276,77.4430422567844,110.86378064707846,78.65000615681737,1740558495199,1740558497463,1740558496329,1740558498838,1740558496605,1156.6592242730962,257.63179064776426
38,50.19373076773571,112.33444958019476,74.88498593524972,118.30075576600638,1740558502648,1740558505329,1740558507415,1740558506174,1740558507870,1572.801922161981,646.1580780792233
39,37.97463207972523,147.27344747948496,35.20156705741519,137.93325150875035,1740558511682,1740558514447,1740558516673,1740558515595,1740558517945,939.06849493651,1461.2594856650267
