Trial, SoundSpeed, SoundAngle, MovSpeed, MovAngle, soundStart, startDragTime, endDragTime, randomHorizontalInterval, randomVerticalInterval
0,146.27035711830356,326.1337254250946,617.4089048104265,301.349580865243,1740675129405,1740675137982,1740675138312,247.00670514453296,368.0525477983731
1,50.88102095933131,146.35253845944976,299.75380616725505,156.60745024245364,1740675142812,1740675150249,1740675150896,708.2730774416375,1064.1232453438515
2,29.126331553799112,229.04851230315697,58.86604852634558,220.6012946450045,1740675155397,1740675162473,1740675165762,1571.5055559777893,1363.754587928094
3,35.82991790122641,39.70647895303375,101.72547887697807,334.6256827147793,1740675170263,1740675181641,1740675183545,1088.3392380502294,1310.6093693150574
4,29.665048477497606,316.9731539376286,134.6165822935461,320.2322728781318,1740675188047,1740675194689,1740675196129,1383.370705674856,1482.0905854015857
5,35.51070336328396,215.2533672873002,83.00468888486373,211.72360295768402,1740675200630,1740675213008,1740675215345,1034.5429946007207,1463.6619634324163
6,37.54456688615906,139.63102974173495,93.21638594277834,139.3987053549955,1740675219846,1740675225368,1740675227445,1048.7750312247836,1233.6595111320032
7,29.777927302865724,138.21783441454556,66.72264412440265,150.40137436372623,1740675231946,1740675243931,1740675246844,1351.052713480708,1512.0171570009388
8,58.00827558544229,144.73607901941648,200.03953931910456,152.24145939893992,1740675251345,1740675260146,1740675261112,633.3946879210832,895.7709024312005
9,65.34783760541897,28.758020844594455,166.80626772140863,27.358937266553426,1740675265613,1740675272117,1740675273278,523.6717342854545,954.2107348742383
10,27.60375628875673,224.53356755406372,48.06579392042686,193.1725534233269,1740675277780,1740675289678,1740675293695,1524.618545547247,1549.646015783258
11,36.16309635634503,41.14714039503042,55.85572511580518,35.089255199845354,1740675298195,1740675310521,1740675313978,1101.6606088192812,1260.7617912475976
12,35.8302617770263,134.47383191523704,41.19711586140778,148.12040315297725,1740675318479,1740675328240,1740675332928,1195.1197091256558,1173.3684056271059
13,62.52223740869413,233.34033746478084,70.18221800075516,212.5393744635586,1740675337429,1740675351606,1740675354361,803.6526483917564,598.1445505668039
14,32.968152435463686,48.76431346186922,29.13437301169769,25.374317285220684,1740675358862,1740675368930,1740675375578,1380.5023051487476,1210.0580517660085
15,62.253894255202376,299.3538833118555,98.25875618887672,298.94001269283933,1740675380079,1740675389251,1740675391228,983.0584233359921,552.882951940748
16,53.533236824009585,149.57886690755493,55.032787584611356,149.08672431787147,1740675395729,1740675405507,1740675409044,649.868946783386,1106.7393230912953
17,96.06524881653519,48.9729674629487,101.74560624394704,64.2306723756613,1740675413545,1740675420012,1740675421911,475.7474007271307,413.95514452749615
18,60.25431886778111,291.91609082217553,30.240690689427993,65.55604521958344,1740675426412,1740675435367,1740675441760,1333.9366012468079,536.6742837799111
19,34.87894266498504,33.94215529128155,33.53753351914914,39.539787407851634,1740675446262,1740675457699,1740675463460,1036.7840567525514,1540.447981903149
20,40.07261328193965,240.41040794884668,36.60814990372284,234.01604894801022,1740675467962,1740675478361,1740675483661,1516.1307400289913,860.9178826474204
21,41.754530197059836,55.77334443088972,35.90032145432053,40.60129464500449,1740675488163,1740675498950,1740675504343,1277.378959217071,868.9748583188474
22,78.51648739209213,240.69747666491452,63.01576180755703,230.0424510691709,1740675508845,1740675519578,1740675522642,780.6887458081429,438.1473022990149
23,26.92292159908724,314.5264491434645,25.27116326816864,313.3276056389107,1740675527143,1740675537623,1740675545293,1589.0345901936653,1562.9825075139374
24,83.58072740945157,66.69430994266025,72.21931753181636,64.89355395413418,1740675549794,1740675556267,1740675558943,907.2323430987367,390.8227875443031
25,48.772297030046516,123.7703768052159,29.867344635967292,138.144957464698,1740675563445,1740675576041,1740675582514,1106.567750360163,739.954311850086
26,29.63889220608207,224.41248095900235,21.97737784262901,215.08925519984533,1740675587022,1740675599033,1740675607819,1416.9884950041835,1446.350608988703
27,70.20990278184637,108.1183276704856,57.87596019127349,121.87959684702275,1740675612322,1740675622853,1740675626190,1374.0096321376095,449.5820932144641
28,137.0146429922776,278.8308418503807,74.36602965475804,296.9610986446329,1740675630691,1740675637114,1740675639724,1426.2498766579392,221.58134992589783
29,29.18534443531765,220.43960725052457,23.755943431118546,200.8676204054192,1740675644225,1740675652721,1740675660875,1350.5801471455861,1584.7055059091185
30,34.167051733779985,124.76256304346367,25.57847181139625,156.21796957677861,1740675665376,1740675675580,1740675683142,1539.9411509760373,1068.795421285135
31,128.88764618155733,166.85654898344364,37.0833957605797,178.21935755400136,1740675687642,1740675695518,1740675700725,239.02234119130398,1023.6202038439565
32,65.23175532354313,108.47397018714861,47.32966131874583,124.6764110459643,1740675705225,1740675718224,1740675722309,1451.3623907075896,484.88599336884323
33,74.49757378290631,313.2424323263411,45.25205104359759,319.81574453739444,1740675726810,1740675736277,1740675740558,587.8053550820092,552.8057401820286
34,57.438930158092205,226.75513629532628,33.456770049201836,202.18667789344798,1740675745059,1740675757498,1740675763276,762.3417934655484,717.0107444319647
35,28.402356910589543,318.38880291528136,26.75268665934367,304.6764110459643,1740675767777,1740675779949,1740675787176,1412.7258450143645,1590.565225905317
36,69.08043235924515,124.64703804520673,45.418685003386194,124.50852298766841,1740675791677,1740675800567,1740675804842,763.8726797452188,527.8865481480573
37,58.505917880530035,157.52059472124915,31.65583844637847,160.34617594194674,1740675809344,1740675818488,1740675824593,554.9341907426514,1341.0928900844071
38,40.558350412278955,55.40552656665591,31.655738234266398,73.15879426385766,1740675829094,1740675839770,1740675845876,1302.7853180960199,898.5459389717371
39,68.72722108855064,200.07355762504866,41.48228220682072,193.10526899021872,1740675850377,1740675857931,1740675862609,464.7399360436819,1271.7799174582208
