Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,104.2449241107311,39.13168099775072,371,456
2,100.32989449288152,42.1005711301755,403,446
3,114.98811271319163,-44.53419091723501,366,372
4,123.17264522292467,-135.5820851351904,341,348
5,164.35266372975548,-168.92222095370707,186,950
6,159.67502283483788,169.63238218152338,191,1044
7,51.256006125202866,144.38151016074823,720,1005
8,119.66800322804939,16.155146682728564,261,901
9,33.55865207552533,41.46715121256204,1193,1350
10,44.26023914233206,-126.48195077206834,1140,843
11,174.1848265241982,-169.79374244052113,175,972
12,229.73673620906254,-8.399094647852461,132,894
13,389.16989824212936,52.62814966858071,127,97
14,309.29730791877853,-42.70938995736147,132,143
15,346.7624202560209,-136.63657704161673,119,126
16,231.24442576678413,169.3655828435,132,703
17,80.23931889678663,138.65678708998465,498,566
18,117.90024734246803,-135.95484125387222,354,366
19,218.92304742071522,-72.10629075429574,446,144
20,130.945700219731,45,324,324
21,85.21214048100575,-45.690277197865086,504,492
22,96.09415257052942,-137.71402103709923,422,464
23,103.34584994736713,-111.50143432404792,792,312
24,58.868243046895344,68.42702998901366,1386,548
25,72.83575773273056,134.85245754626416,584,581
26,83.25815247929556,46.3478872801986,522,498
27,108.93317417207568,-53.40891173260072,462,343
28,125.70849480340709,-161.26483420125217,252,743
29,113.19099893019904,-20.522815831102008,283,756
30,79.99752215303286,71.69471201070806,1194,395
31,64.51668792228445,138.58981510024694,620,703
32,67.42230883541936,-40.36695738514227,584,687
33,169.2496644006688,73.36021763592512,619,185
34,246.86536243093423,-46.332219853869645,176,168
35,105.3858710917667,-116.10271165696915,647,317
36,119.76814820104056,161.58672948838296,264,793
37,105.37738177359914,52.05654219026986,463,361
38,83.16431200211022,-55.44562205652511,636,438
39,228.51452300736307,174.02410888475737,132,1261
40,195.41384527373222,-156.03751102542182,168,378
