Trial, SoundSpeed, SoundAngle, MovSpeed, MovAngle, soundStart, startDragTime, endDragTime, randomHorizontalInterval, randomVerticalInterval
0,57.20325713780803,29.433625558813617,103.2849936371029,21.801409486351815,1740561990561,1740561996149,1740561998026,602.1704774716766,1067.2154884318134
1,107.18989859059973,316.9288050737101,108.29490419145606,288.34148107628613,1740562002527,1740562011720,1740562013510,383.1279079913071,409.8322050163157
2,116.27176207086804,226.4214464449785,47.59568204121688,227.92497794915639,1740562018011,1740562022817,1740562026893,374.2899876927136,356.16448195254054
3,36.7458610323386,55.3437627901223,78.71111818437409,72.31153375176717,1740562031395,1740562039809,1740562042276,1435.7099619925568,992.5111840696248
4,51.104673906078084,231.21141571944787,69.02350513169581,206.43242229472585,1740562046778,1740562052911,1740562055710,937.0769260538618,753.1218412190657
5,142.29446779544088,166.27788443126167,248.84100953207584,162.4890965298507,1740562060211,1740562065405,1740562066193,217.0248052324555,888.7804717756817
6,42.4370366413711,118.07149042920821,43.15264481145956,106.38954033403479,1740562070694,1740562080509,1740562085026,1502.2745236003193,801.1795195461489
7,34.73409516367366,231.0975982231126,54.63425152992352,248.74949449286675,1740562089528,1740562104058,1740562107593,1375.3353588797652,1109.8509274373996
8,33.18590450936195,319.2811017124593,49.41967225135099,301.87959684702275,1740562112094,1740562122302,1740562126210,1192.736972240838,1385.7598506000227
9,86.73208457124453,55.960952148115496,98.26345589831261,65.79902840884154,1740562130711,1740562135441,1740562137427,617.9329252892919,417.4140304051327
10,49.724708682010714,309.9616134517014,78.17450396861655,307.22539947161334,1740562141928,1740562158936,1740562161410,939.3523044460836,787.1383247370462
11,89.86864331431978,196.64610153901336,62.83968030845505,163.04810575455303,1740562165911,1740562171766,1740562174877,348.42208667793807,1165.3330029013168
12,111.2039554101622,38.399504546792684,78.0023713081322,17.037767795625655,1740562179378,1740562183866,1740562186360,344.2324613637764,434.3209918950603
13,110.91404913680576,63.71155163687615,73.48918529932487,63.30262624174816,1740562190861,1740562199058,1740562201693,610.7147241862901,301.6808272355984
14,84.376494950826,65.03304057193316,95.83268512813746,72.87551038652748,1740562206194,1740562213490,1740562215510,842.3430492360026,392.1997991983085
15,30.229132005786468,39.43315015312601,39.842604838856786,47.307372996962215,1740562220011,1740562227494,1740562232343,1284.908837815599,1562.4296636916554
16,42.01103254832721,126.77367226332262,57.40855421380061,122.5393744635586,1740562236844,1740562254092,1740562257460,1192.8363178215102,891.5010034200317
17,74.04971774374376,72.5809061576258,39.61740020189268,71.3784206335124,1740562261961,1740562269659,1740562274560,1353.336677133359,424.6053501118074
18,113.83713417103596,170.09687370684946,99.13498325348112,202.18667789344798,1740562279061,1740562291526,1740562293476,267.52046251851897,1532.329473626808
