Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,296.5660284635416,-47.59350644478904,150,137
2,188.53269954271371,-12.520542305355256,163,734
3,199.53058127232887,-26.497003964994416,168,337
4,253.12160382563914,-170.99239665366753,120,757
5,219.1924752073758,-114.98784373603299,324,151
6,282.9555563707323,-132.14708868921363,158,143
7,234.8506505996562,113.21992972290849,324,139
8,381.0687915375271,133.2020681430995,115,108
9,265.260605204463,7.219020824869662,114,900
10,251.79209042414465,-45.1700166508803,169,168
11,186.23587767404987,-63.498469616756864,361,180
12,93.18323307448568,-38.079583501821865,409,522
13,191.79478685791042,-15.085581171966343,162,601
14,23.652230924127693,-131.9337976549353,1898,1705
15,246.65658716152288,-157.13361940581393,132,313
16,107.10066867304386,-116.13100054493859,636,312
17,281.38777157629204,-162.15979569229648,112,348
18,278.63955380524106,122.0307465439713,203,127
19,279.55686713523824,109.72227776444706,318,114
20,275.2375693866464,107.03776779562564,372,114
21,136.1644405902648,19.687116198125867,234,654
22,249.8572104445992,24.548427302454893,132,289
23,259.1302636378876,-28.71030698780015,132,241
24,39.12940445921753,-56.63363399894044,1394,918
25,138.49705223628143,-151.70672117242344,246,457
26,172.70693507166703,128.83594755717118,277,223
27,298.51946454083395,40.418144135591895,132,155
28,218.64814133392443,-22.01700876795257,148,366
29,217.30341604703654,-22.096884398441816,149,367
30,352.73144605097184,-141.95295746817393,108,138
31,187.72501519571813,-156.69879028948984,174,404
32,103.1479709228309,-116.1468412355809,660,324
33,140.04173596603212,-135.56726640985795,300,306
34,102.29437261861385,66.41574350676831,733,320
35,110.94957085674392,67.34537171543472,702,293
36,158.54394336078684,138.9269449754313,251,288
37,190.90610277861256,-154.5731258304102,174,366
38,181.97786746482728,-117.58580338469133,356,186
39,333.9255050708516,40.97800982297989,119,137
40,353.5533905932738,135,120,120
