Trial, RandomSpeed, RandomAngle, UserSpeed, UserAngle, StartMovementTime, THor, TVer, THorSecond, TVerSecond, randomHorizontalInterval, randomVerticalInterval
0,75.4483595955121,238.55535549366442,73.8255740881742,223.90404051105025,1741191032954,1741191035997,1741191034763,1741191036561,1741191035349,762.2050094332869,466.0675021324306
1,93.9411905312946,329.28288256138165,55.49893315461932,308.9430477946904,1741191040379,1741191044430,1741191042858,1741191045290,1741191043553,371.46544202296496,625.1935555347163
2,105.27491703626835,16.247047458337192,48.57636160880034,26.815614213212257,1741191049096,1741191054425,1741191052068,1741191055117,1741191053437,296.82196666727793,1018.5454050217468
3,123.00261756264744,193.78383287888292,66.10612696421113,233.1664498516144,1741191058928,1741191064037,1741191061108,1741191064794,1741191061675,251.12938619341563,1023.6625479249335
4,60.91359938280183,239.5616467903881,103.67160859802415,211.93942854940235,1741191068595,1741191074726,1741191072449,1741191075067,1741191072996,972.1479603679733,571.230905493901
5,63.26361224536735,51.21923827216443,72.93489344044697,39.62159445089958,1741191078879,1741191083643,1741191081726,1741191084177,1741191082371,757.1042203432727,608.308984618345
6,125.26733916003887,101.09251342997675,119.28786092922142,155.21880407508058,1741191087979,1741191096135,1741191090859,1741191096412,1741191091459,1244.7795821794625,244.0471388907888
7,55.304704017398585,334.95024614060736,58.12593152881377,332.1003423410072,1741191100228,1741191106758,1741191104645,1741191107342,1741191105748,598.769303615507,1281.15915861677
8,30.854276368745726,131.38314922638142,30.493799093306194,138.5776087756625,1741191111146,1741191117628,1741191114492,1741191118940,1741191115979,1470.7690928769466,1295.888816998132
9,92.74923745850522,200.6415120186786,36.11926154671631,148.7054219120364,1741191122743,1741191133175,1741191130539,1741191134147,1741191132138,345.64146446313475,917.5451672031114
10,58.37766233182175,210.0503109003087,68.24708891121908,199.731841897612,1741191137958,1741191143838,1741191141155,1741191144305,1741191142457,593.6962676836808,1026.2299889701712
11,45.56667806685372,118.72678168474829,28.60761782824955,132.4402460355152,1741191148108,1741191155171,1741191152100,1741191156725,1741191153521,1369.8086216610538,750.7807344000485
12,43.422737647001796,149.51202947693747,27.13460189911176,145.72127500856533,1741191160540,1741191170161,1741191165624,1741191171499,1741191167587,801.7333845198264,1361.726887407239
13,64.3672249802128,207.66624009884737,34.93973189437252,214.18902716628565,1741191175307,1741191181820,1741191178495,1741191182858,1741191180023,526.2423863671472,1003.7806588380788
14,138.82046930086602,65.65606678960665,109.94167803308514,53.1502556348982,1741191186673,1741191194739,1741191191888,1741191195194,1741191192229,524.2590973042215,237.19617067983233
15,74.01883416686802,158.12270443620775,51.86384815297247,157.30147309286667,1741191199007,1741191205837,1741191202797,1741191206464,1741191204296,436.7556516509062,1087.7090873272236
16,53.39947811623295,317.42908733420137,44.00902674561154,336.7373381912661,1741191210273,1741191218437,1741191214920,1741191219179,1741191216646,762.862920394722,830.4529580694416
17,71.31667801465031,74.58141646761032,41.36062313882822,57.50135405552038,1741191222990,1741191227916,1741191225603,1741191229266,1741191226463,1582.2050670583415,436.3640470777913
18,50.61166206563469,145.03617249502702,66.99848355016854,158.57829471760238,1741191233074,1741191240860,1741191237371,1741191241341,1741191238597,723.2930296142725,1034.3587450562702
19,99.93689261029922,102.28029606648283,47.13910478492999,120.15229383933297,1741191245157,1741191252962,1741191249826,1741191254229,1741191250562,1411.3652510113418,307.21898773804185
20,37.40563864975182,41.87834829423497,28.019499245475252,42.23069433860758,1741191258040,1741191266626,1741191263061,1741191268072,1741191264654,1077.1649827779825,1201.4330519931568
21,55.4405635827301,305.60907159657773,37.15379834044619,309.4045027301289,1741191271873,1741191279420,1741191277259,1741191280692,1741191278304,929.3575954426497,665.5772781448861
22,37.42403789224745,45.71835420874794,27.386599141107045,37.781689838086436,1741191284507,1741191289476,1741191286392,1741191290862,1741191288180,1148.1522589650385,1119.7170264257124
23,43.909375996402375,49.489681224859396,31.02753855617359,45.43992238585872,1741191294674,1741191299987,1741191296281,1741191301365,1741191297638,1051.7875169398096,898.6390527788751
24,97.59680539780068,113.46463892797487,44.993009193804056,129.96806577717075,1741191305173,1741191312240,1741191309076,1741191313278,1741191309946,771.9744436187148,335.0976798108144
25,88.51931745809365,250.57401288229198,62.232252925147094,244.7476191742919,1741191317090,1741191322990,1741191320954,1741191324120,1741191321487,1019.002944440392,359.3671627448631
26,77.28372436123671,226.77462057640653,43.072279065331976,218.8229542667128,1741191327924,1741191332154,1741191329746,1741191333048,1741191330857,566.7938220645835,532.7274851093489
27,85.8836998120849,70.1251386160688,40.4755174211745,45.79230886648702,1741191336857,1741191345907,1741191342504,1741191346970,1741191343538,1027.4809814184537,371.43312071209897
28,123.72194128598589,99.9694283389639,55.17437888554268,135.37252907759193,1741191350774,1741191355756,1741191352965,1741191356520,1741191353739,1400.6207458382905,246.19672620213083
29,130.72965718003007,106.4752373262981,160.48206636768646,118.64133023383636,1741191360324,1741191369804,1741191368441,1741191370194,1741191368654,809.1694697192831,239.3065653515445
30,50.81375949132833,226.35588184772132,25.724369975759195,220.38301103664628,1741191374008,1741191378476,1741191375776,1741191380007,1741191377576,855.4201416269162,815.8625172783665
31,95.61584135182514,39.4577723584577,142.37499427853885,19.83480666021029,1741191383824,1741191393120,1741191389520,1741191393344,1741191390141,406.37005039216604,493.7071971354525
32,55.77279480503809,34.67590478860302,55.65061704664136,32.47488474296125,1741191397157,1741191404904,1741191400348,1741191405543,1741191401352,654.0704451066968,945.4469522889552
33,30.227213850389134,130.32830259778268,17.892320449328373,134.48057115266698,1741191409358,1741191417737,1741191413910,1741191420130,1741191416260,1533.5825176740204,1301.8754863371837
34,34.282392699705355,323.3700118610774,21.59112224272036,314.9125255954246,1741191423940,1741191430441,1741191427459,1741191432409,1741191429421,1090.4411114189834,1466.6758377821857
35,104.56565112258613,151.8723036847524,56.04702692124756,154.71085433288226,1741191436224,1741191444187,1741191439726,1741191444779,1741191440979,325.3219143487994,608.565604202804
36,40.72459053692347,326.0785490890889,38.550232536128,323.58733336838844,1741191448591,1741191455637,1741191452337,1741191456604,1741191453648,887.7472004281971,1320.039383367063
37,54.86624819345483,314.99029115634727,60.32462703274887,320.0201236135103,1741191460407,1741191467360,1741191465513,1741191468009,1741191466287,773.4007573943594,773.1386942893547
