Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,204.4710968857017,7.540926492720443,148,1118
2,295.3963087210962,137.38594403038883,138,150
3,196.09686748431608,-78.71825039606941,782,156
4,219.4392932207273,-172.16601790937813,138,1003
5,301.10090830787436,-133.7811247648687,144,138
6,50.033749296792664,44.662175026208374,843,853
7,230.27078554273078,-80.74427225544778,810,132
8,278.4258662427597,136.3147542913827,149,156
9,41.12387919736761,144.68626728940538,894,1262
10,286.84165684198854,-43.838758091685996,145,151
11,196.2348782122079,-101.4819913547481,768,156
12,60.549302160202004,-44.019283586003716,689,713
13,274.1149562284632,-73.74542245524421,391,114
14,245.09089726083977,103.72229713313355,516,126
15,73.6652822521048,-134.50265329461723,581,571
16,202.6094259992599,-96.41131946677409,1326,149
17,49.423754557228904,-146.84931195357765,725,1110
18,210.63060795479925,8.469911325235504,144,967
19,351.76971687628895,127.84643568160557,139,108
20,238.69004906554102,81.75089396113499,876,127
21,177.8928677255273,-12.889405756141066,173,756
22,345.1868728265434,-142.8763021115697,109,144
23,271.47617484800105,167.94223180068536,113,529
24,61.03891022994466,-41.27835517204597,654,745
25,214.931451734043,-102.55715324419704,642,143
26,190.86723101628718,-75.98453092547537,649,162
27,218.7211052963822,-9.330481720840568,139,846
28,173.42505456105104,51.1886159632416,276,222
29,257.25727961344876,133.95837332399003,168,162
30,209.74392718351294,-170.54834541045346,145,871
31,223.94081088354352,-76.10880882854515,558,138
32,76.98214242995171,43.13232116056583,534,570
33,329.0054829964099,-45.88823549523977,131,127
34,177.62099697719023,-109.3400730811053,510,179
35,60.432528704558024,139.79371470456326,650,769
36,212.49859630704796,-65.619187997099,342,155
37,112.50489402177662,-39.981656857901356,348,415
38,336.7180978099186,-47.94146499391111,133,120
39,191.0792572673991,-77.20621295297958,709,161
40,204.70814002429702,-109.00598419603679,450,155
