Trial, RandomSpeed, RandomAngle, UserSpeed, UserAngle, StartMovementTime, THor, TVer, THorSecond, TVerSecond, randomHorizontalInterval, randomVerticalInterval
0,52.31008768985281,23.83669443006238,74.03678462846693,25.247578103331136,1740565421740,1740565427101,1740565428233,1740565427550,1740565429183,626.9842574318172,1419.1014310296268
1,137.09016142069459,100.57514734167876,77.29713659370846,107.52344102884905,1740565432986,1740565437819,1740565436745,1740565439108,1740565437152,1192.3940337286008,222.61519320179877
2,135.2600720558161,124.76255772348037,50.726574414582615,121.28079338375926,1740565442918,1740565452043,1740565450607,1740565453182,1740565451299,388.99325729790434,269.9805311614189
3,76.2703692941472,106.2569161894886,73.45902072759651,121.89197920531296,1740565456986,1740565460431,1740565459500,1740565461204,1740565459981,1405.0534501828558,409.7197537331455
4,101.25635030502997,111.4423623722468,106.80004681646915,110.5560452195835,1740565465018,1740565476490,1740565475750,1740565477290,1740565476050,810.4650476857472,318.30923805801103
5,52.12400789473098,241.44704594392206,53.56266756599789,234.2650040583601,1740565481102,1740565488307,1740565486982,1740565489266,1740565487672,1204.1542039345488,655.2441045653129
6,40.90404257057526,305.5383674034398,49.21676216007944,307.46897616945654,1740565493069,1740565500213,1740565498523,1740565501215,1740565499291,1261.8088252901507,901.3149539109804
7,80.61888046655706,165.7991136595292,55.73745233596942,153.77464314023473,1740565505019,1740565508399,1740565509669,1740565508999,1740565510887,383.8511623424132,1516.8663517108914
8,87.02646413257501,118.70111630278706,45.16240814365878,125.10838027317783,1740565514701,1740565520065,1740565518455,1740565521220,1740565519266,717.8125630299289,393.0090764848942
9,63.85383460340792,197.87861143028923,55.444394760718666,207.85633573461686,1740565525035,1740565529166,1740565530384,1740565529778,1740565531542,493.6624128910477,1530.3612655029665
10,64.01041523193547,340.44946359352826,56.0176046170439,339.16927674759467,1740565535353,1740565540459,1740565541677,1740565541032,1740565543183,497.34745186682073,1400.538788079518
11,61.60545276038943,290.15743259873005,63.16004883455044,291.6401647539355,1740565546986,1740565551077,1740565549676,1740565552365,1740565550187,1413.1418101386946,518.743269361007
12,37.72771952856688,49.88495218509058,59.82667780272868,43.38646106711883,1740565556169,1740565563365,1740565561443,1740565564055,1740565562173,1234.1161999233425,1039.7764134267727
13,73.43204721896142,114.85954978540059,56.286277832816126,114.12535317354997,1740565567869,1740565576585,1740565575237,1740565577889,1740565575821,971.8018469389942,450.2617614996219
14,42.22306342261746,210.68266077603283,43.390275977259186,219.80557109226518,1740565581701,1740565585204,1740565586947,1740565586104,1740565588027,826.1704593044718,1392.3893312676737
15,37.30491556645075,149.631549455165,34.16895990258528,142.27736154816938,1740565591835,1740565595434,1740565597900,1740565596544,1740565599335,932.0709924831903,1590.682711271276
16,34.15412162746377,123.86034813448066,45.248039530947466,118.57859005079303,1740565603152,1740565609854,1740565607995,1740565611240,1740565608750,1576.485470546635,1057.7713486187154
17,58.09705133394632,292.5330525453284,52.27322770474387,299.128821388543,1740565615052,1740565620865,1740565619174,1740565622044,1740565619832,1347.482563051869,559.0564691889945
18,47.071922324876596,226.54304245519853,56.55438438990427,225.95420523478452,1740565625852,1740565632358,1740565630804,1740565633121,1740565631542,926.5976142973074,877.986302661522
19,135.26596407800088,189.29004132735747,73.75205731880665,206.86981308749904,1740565636936,1740565640166,1740565641072,1740565640622,1740565641972,224.7329263162437,1373.8594664049278
20,63.42554611627449,67.56132814005065,42.378940217498496,57.43024047864424,1740565645786,1740565651672,1740565649959,1740565652987,1740565650798,1239.1998439253978,511.7400813627983
21,39.28819378757321,43.339183268487545,34.59963137440178,46.516641871841216,1740565656802,1740565662634,1740565660290,1740565663894,1740565661485,1049.8892063702494,1112.589946592797
22,34.34999882994558,314.61838304775074,38.62376793290799,307.1895855964993,1740565667702,1740565673754,1740565671464,1740565675039,1740565672439,1243.4304101737769,1226.9760927800216
23,38.88231712581503,119.35313130676514,34.5581400261677,128.35384578114054,1740565678852,1740565685218,1740565682992,1740565686617,1740565684099,1573.9968165281296,885.2060603809932
24,27.031501652207776,134.16990579493228,39.51313227344323,133.7471045138367,1740565690419,1740565695466,1740565693340,1740565696564,1740565694391,1592.759252070111,1547.2638011718373
25,48.014208270739935,131.04565592834376,39.24463594135865,135.9270352697722,1740565700369,1740565703324,1740565705623,1740565704388,1740565706722,951.5043601854693,828.4621900003582
26,74.38113247916917,340.5178990536419,58.709410977359425,336.5487700094175,1740565710535,1740565714660,1740565715909,1740565715217,1740565717193,427.8227711009648,1209.3347415016515
27,72.65497909202603,136.07726909795633,40.12116156488198,135.2979895470375,1740565721002,1740565723985,1740565726058,1740565725037,1740565727121,573.2670116307571,595.2397394336077
28,107.27437513457664,296.2812945864885,70.6243699522925,289.2721970672699,1740565730934,1740565734339,1740565732972,1740565735626,1740565733422,631.5950912701596,311.89721399270036
29,44.411336521959896,118.94387349852371,69.65642081425263,106.8476968777075,1740565739436,1740565747427,1740565746088,1740565748913,1740565746538,1395.8044188064111,771.9205532129497
30,39.05160226384612,305.23340331002726,39.197125270157805,312.49441323910577,1740565752719,1740565757149,1740565755022,1740565758282,1740565756060,1331.6048716782286,940.5070211648838
31,119.08055675805781,252.3307021100935,45.968749509214376,251.05349531049092,1740565762085,1740565767816,1740565764960,1740565769826,1740565765650,830.0217318754944,264.4037383665762
32,114.18249980984397,306.2607423909245,37.25802781752534,306.05724605159025,1740565773635,1740565779932,1740565777621,1740565781300,1740565778617,444.2175508765811,325.8418651896865
33,57.83866194546758,152.93429219547534,38.07541187487826,143.67152927166342,1740565785102,1740565788921,1740565790919,1740565789899,1740565792249,582.4736261159711,1139.9351493751362
34,87.02511170743898,130.36340189412687,38.65368870669158,136.66783171731686,1740565796052,1740565798365,1740565800459,1740565799432,1740565801590,532.2889781769084,452.4274742131671
35,43.15554492565496,308.8759020006944,38.719970792956566,308.93078834188344,1740565805402,1740565811150,1740565808582,1740565812383,1740565809578,1107.5848955336942,892.9394687144666
36,36.9532200251775,146.33850845054997,36.93839643996027,145.88290237969932,1740565816185,1740565818635,1740565820669,1740565819616,1740565822117,975.3827369261827,1464.656307409772
37,62.61724128484592,71.89081873502744,35.34842623958734,59.107659110534996,1740565825918,1740565830499,1740565828314,1740565832152,1740565829302,1541.367357826116,504.06990389746744
38,139.82314570091225,8.282701454660128,57.7884999836982,19.581152391082128,1740565835969,1740565838338,1740565840006,1740565838889,1740565841554,216.8183128421752,1489.383344188522
39,100.3796266632594,166.51255337791633,67.4373516246769,165.74003342265576,1740565845369,1740565849513,1740565850615,1740565849972,1740565852421,307.3415871310209,1281.4066019075872
