Trial, SoundSpeed, SoundAngle, MovSpeed, MovAngle, soundStart, startDragTime, endDragTime, randomHorizontalInterval, randomVerticalInterval
0,41.60595880800255,236.05869069846278,50.882403062028615,319.590543185606,1736422589213,1736422604814,1736422608634,1291.410584749892,869.1440685497658
1,53.627633267787274,319.547940094568,120.89975134273493,317.88296345253957,1736422612635,1736422627006,1736422628634,735.1517845946146,862.2119374357338
2,88.38193907001016,164.89879179288982,80.87857031991747,201.80140948635182,1736422632635,1736422642853,1736422645250,351.5768197188255,1302.8923829892562
3,133.2977675809315,220.76195176201225,191.33857210119498,267.3438527960429,1736422649251,1736422667419,1736422668434,297.13688216711,344.6988969495337
4,31.544510092052043,230.13547066641948,252.62417407630485,11.30993247402023,1736422672435,1736422726350,1736422727117,1483.7361112178942,1239.036036953647
5,53.181840698036474,63.83223714431102,117.24990581573874,107.77856108059603,1736422731118,1736422785036,1736422786684,1279.1408519094107,628.5216188267951
6,45.63344781079584,333.617920739117,50.54232653633728,335.94747058695117,1736422790684,1736422827783,1736422831618,733.8415401571699,1479.4759171073981
7,32.36415831119744,41.78578276707731,53.940509842896546,53.841814560191665,1736422835620,1736422892719,1736422896301,1243.1597573101442,1391.0930641135092
8,61.201997239334744,309.42739575981767,100.95769447183075,335.7990284088415,1736422900301,1736422927485,1736422929418,771.8156874984123,634.5948334199634
9,40.031232954991225,208.0645357959816,124.82894278677904,145.249020783756,1736422933418,1736422949307,1736422950867,849.273968763396,1592.9210269735731
10,31.86006030700821,310.8142519246414,29.70480779575507,342.3115337517672,1736422954867,1736422981231,1736422987768,1440.6441385536443,1244.1561445622006
11,77.33738230293663,302.1839688220247,140.4955704699537,341.3784206335124,1736422991768,1736423005002,1736423006384,728.2800647831813,458.33790481320506
12,52.432646570917335,236.68994545821784,82.85124466509377,219.57940471623763,1736423010385,1736423032202,1736423034551,1041.8689155253633,684.6417115827772
13,55.130331689124006,126.06921894071559,74.78498741749144,44.16362467457759,1736423038552,1736423053710,1736423056301,924.2527115536363,673.2163961523074
14,70.80728210609921,146.75469423660536,65.03199435482776,43.111811993259096,1736423060302,1736423070364,1736423073334,506.5998961748068,772.8313357551993
15,67.67751133610064,200.2635390184771,58.748460824644276,203.66314070819433,1736423077334,1736423108893,1736423112201,472.5234108778987,1279.8992917577252
16,75.65558768304145,327.52394022271716,58.91993371463934,305.33133133891636,1736423116202,1736423126748,1736423130035,470.0407405913746,738.4969294991533
17,143.26811014069216,150.08568089360642,132.16340116640197,101.54049774660933,1736423134035,1736423157476,1736423158951,241.5832268661806,419.88324437557986
18,55.08717575040615,208.4635638108427,78.201820242347,230.0424510691709,1736423162953,1736423182766,1736423185235,619.4730278962024,1142.6596588580062
19,52.74325448932804,243.71317281395352,43.30752913094017,332.24145939894,1736423189236,1736423218073,1736423222535,1284.348562831784,634.3972277919895
20,37.93833008924701,218.087210211465,40.619012445572594,284.396136847169,1736423226535,1736423252440,1736423257193,1004.6809627836974,1281.9063403781515
21,51.66086438722247,137.85016687017333,33.25217994991697,43.74554837731847,1736423261190,1736423284117,1736423289945,783.2698756424716,865.3477355335241
22,27.80679482554634,132.5282897454232,38.89391802194261,34.6764110459643,1736423293945,1736423308372,1736423313343,1596.07420996473,1463.9829763382943
23,135.9893503591219,351.3254560115643,22.547347145571095,298.28077119077454,1736423317344,1736423341713,1736423350325,223.1582184707463,1462.6914962723665
24,59.303281783267515,143.3350511474065,39.69006952720099,131.04766341788422,1736423354327,1736423377648,1736423382559,630.6548792755734,847.1695406435942
25,52.63981221800026,136.72629004107762,93.8819425233068,142.71833279400755,1736423386560,1736423391834,1736423393909,782.7506330320583,831.3987806648041
26,36.83223498451771,328.1544978463293,51.232243665769445,227.3073729969622,1736423397910,1736423436938,1736423440709,958.833333208374,1543.7011305341061
27,114.75543543832788,168.041701741922,20.834321116237287,142.35908768201523,1736423444709,1736423481317,1736423490591,267.22465676107936,1261.707981659141
28,125.99442319728271,279.7323829008225,88.0752778233081,192.11524180245786,1736423494592,1736423529040,1736423531258,1408.52269751583,241.5826135536555
29,60.103558590407154,219.66911806112023,68.62396816583403,219.57940471623763,1736423535259,1736423562639,1736423565475,648.447628507008,781.9160859144524
30,86.72203905893659,163.67619415680394,180.94315094652566,192.68752137386997,1736423569475,1736423585276,1736423586358,360.4636205020978,1230.7908897087266
31,50.32090815635362,39.2950214584892,78.5345290788304,147.4606255364414,1736423590359,1736423602596,1736423605058,770.3544710675474,941.3561183329664
32,75.25449148064989,294.3400024954007,91.1540244784024,292.84804287161637,1736423609059,1736423620056,1736423622175,967.2370339749767,437.53749633156053
33,52.33234251318224,294.9899594477359,53.95321620921705,297.6210749830755,1736423626175,1736423631527,1736423635125,1356.956943018801,632.4699372715288
34,29.4312519173653,138.66096436872385,56.3038869674205,125.98395105198978,1736423639125,1736423647462,1736423650908,1357.6254889951979,1543.2309265245096
35,65.54487715628566,145.43785389120285,65.88725880855084,14.683219752396042,1736423654908,1736423663024,1736423665958,555.7927945761558,806.8074017875339
36,60.35380866581485,157.52191761829454,66.75704723864189,35.4010969314582,1736423669958,1736423676352,1736423679274,537.9382798261383,1300.104343610493
37,49.76017042205646,307.1083559176711,75.20008820688196,261.36658017263625,1736423683275,1736423701871,1736423704440,999.2831819432587,755.981050684011
38,59.97941082924426,336.97704217501763,97.5994977342538,225.62959860841028,1736423708441,1736423727179,1736423729157,543.4591231109027,1278.8844794088786
39,29.81416606491236,135.7583002573043,63.556681476297165,39.76772712186818,1736423733158,1736423770340,1736423773390,1404.5628554503464,1442.2420521196618
