Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,104.6502196769218,-35.47179536085775,352,494
2,128.20453739172848,135.6923624247635,327,335
3,167.21757420463058,-77.17121712854458,808,184
4,174.9743647328803,101.55429009702218,856,175
5,134.96571763675294,-163.35496178532406,232,776
6,129.68945104495307,-104.56254866006634,920,239
7,131.8405749004862,-72.19108293927081,744,239
8,149.26319359549325,103.8434913624148,840,207
9,168.90690508504844,74.8590161649231,680,184
10,149.16370907553434,20.69936705528159,215,569
11,186.85588954269042,48.01278750418334,240,216
12,65.04124464588952,142.16723872851978,584,752
13,63.13453403451317,45,672,672
14,160.70608663330623,45,264,264
15,157.03296128160727,-138.26748295231974,256,287
16,55.664082924676876,-144.13961513677236,665,920
17,88.0233521841542,131.63353933657018,513,456
18,88.4001038954137,35.528396117098005,417,584
19,149.97083260582505,30.006433790459084,231,400
20,130.19418380718602,16.23884162969228,240,824
21,147.76499403285735,-78.75358831981465,1041,207
22,153.44403810498576,-12.162203519681837,200,928
23,137.15909526710692,-18.762926365012746,231,680
24,124.674254920203,109.32865286416641,727,255
25,127.58448476929415,-107.82854808407146,768,247
26,100.81240959418868,-108.05812639205914,960,313
27,133.32283249361654,110.35197359783209,647,240
28,57.72825812406963,139.05537283755407,688,793
29,62.71429245164985,38.11475623742881,608,775
30,151.46130012883327,-46.73570458892839,289,272
31,109.94830992455226,-18.063030640206104,287,880
32,120.08078914299698,-77.39703675185496,1145,256
33,145.61818804671438,7.915512423026585,208,1496
34,154.52752738314084,-51.519801751656985,312,248
35,77.78508577569569,-42.12454631601475,520,575
36,75.73201603647058,82.02724148592834,2856,400
37,84.46254434210415,-34.69515353123397,432,624
38,62.098751854892136,133.40885972880542,703,665
39,104.94800432253989,-109.89543133476566,840,304
40,192.2334972393078,81.01264817866527,999,158
