Trial, SoundSpeed, SoundAngle, MovSpeed, MovAngle, soundStart, startDragTime, endDragTime, randomHorizontalInterval, randomVerticalInterval
0,46.23805760321461,234.14455193436743,154.15048656298075,252.96223220437435,1736415967950,1736415978058,1736415979320,1107.6819483084478,800.5161096248245
1,38.1889100438994,318.79249242616595,100.07569671936062,303.4445156885807,1736415983321,1736415989131,1736415991071,1044.1825314425228,1192.4447946977994
2,116.78459023820683,305.05322684341445,139.56313429894126,337.1519571283837,1736415995071,1736416002303,1736416003687,447.26899267432293,313.80074758500695
3,109.49032351629721,106.18322424006283,136.41235109352036,109.73268949966103,1736416007688,1736416014438,1736416015871,983.0895446683757,285.3018053785178
4,57.37773915448465,22.86769930832969,87.77212105743894,11.949757221493826,1736416019871,1736416027303,1736416029504,567.4497814633798,1345.4573104892845
5,37.56710670583064,138.3932452959399,76.10338285620824,149.2372804657611,1736416033504,1736416039402,1736416041971,1068.0082737051712,1202.6410675491156
6,158.54971449764844,111.76171840916709,148.85632346237927,152.64106273344657,1736416045971,1736416052470,1736416053771,510.3612388029085,203.73449380923256
7,58.14871493121749,61.97185266248795,91.9979033529643,43.53119928561421,1736416057771,1736416063372,1736416065471,1097.9203153900278,584.4666236387261
8,37.66841759646475,131.3442678366289,49.31080626267025,225.62959860841028,1736416069471,1736416075306,1736416079221,1205.638756711896,1060.8310811185493
9,63.6986527184426,326.803301473059,71.04486897733831,347.2478802497924,1736416083221,1736416089162,1736416091904,562.8225419175299,860.1911710819804
10,67.21578914351541,292.469715231667,117.90835863385651,283.3245312618908,1736416095904,1736416099881,1736416101537,1167.790399848071,482.9916174622442
11,104.14355350515339,118.49340466899025,92.33282736284909,126.39687822130162,1736416105538,1736416110788,1736416112887,603.8346726193793,327.76548431804105
12,48.4068654689455,122.07265462198552,56.94362276177662,118.2807711907746,1736416116888,1736416121843,1736416125253,1167.144164963992,731.3721504190061
13,33.92124426116696,124.91709734527177,49.71750361986162,123.44451568858068,1736416129255,1736416134132,1736416138037,1545.1014448208557,1078.5632883649168
14,68.39882691269383,162.69993583225119,49.53024712432315,198.71626790193355,1736416142038,1736416146620,1736416150521,459.3864418034983,1474.9142399334835
15,45.75192738942224,304.5403958708803,49.66698067139669,297.09555249375177,1736416154521,1736416160664,1736416164554,1156.4814010725263,796.0287375367619
16,35.181058293005336,310.0478548897896,46.09777969392984,313.5311992856142,1736416168555,1736416174532,1736416178721,1325.2961477303807,1113.9431231013878
17,36.893912775974556,216.33637531123733,36.95934921401975,213.93422419942286,1736416182721,1736416188538,1736416193821,1009.4221091015556,1372.3347656700155
18,32.84308971307769,217.36063919202547,36.67917025531604,211.97415935312918,1736416197821,1736416203233,1736416208536,1149.21709178788,1505.2555558224735
19,129.26713529774563,258.0988206196585,93.15748885385999,204.85719676695695,1736416212537,1736416216227,1736416218321,1125.3645624188334,237.1757028819262
20,46.472218335921546,213.37950584300353,67.26623653718767,218.29016319224309,1736416222321,1736416227892,1736416230771,773.0687551453415,1173.3333201852543
21,84.81219941472372,326.2504171488799,89.3533724755987,341.3784206335124,1736416234771,1736416240664,1736416242837,425.4166021296568,636.6909731029464
22,69.8496143415533,338.5218193724012,86.8989602234074,343.44292862436333,1736416246838,1736416253950,1736416256171,461.54518898631875,1173.0105169993035
23,73.98487026460728,64.20847987177922,79.7212343502848,289.5545935034512,1736416260171,1736416266149,1736416268585,931.9474083474862,450.3508289247824
24,40.250697852942515,32.17667274824481,47.56556576794009,42.27368900609372,1736416272587,1736416278791,1736416282854,880.5763738069544,1399.5949374101417
