Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,143.74102762955206,-37.47968624961901,263,343
2,266.0002022566329,-45.17961000574708,160,159
3,91.70905957448083,-42.96120536073284,447,480
4,265.1650429449553,-45,160,160
5,179.70899006460365,-18.46755882481524,176,527
6,280.28383431403563,-48.01278750418334,160,144
7,211.13809137341576,-20.80679101271123,152,400
8,157.2249455862981,-73.50434794826197,672,199
9,155.04052642128835,42.39270378284411,262,287
10,281.0740745396974,132.1658889836935,159,144
11,185.62267966826434,105.84308211768702,592,168
12,280.9695819284295,135,151,151
13,117.93846686887018,133.7269699799433,368,352
14,200.31838926184224,-111.53458094345334,408,161
15,73.57565923225432,-140.42414090243113,529,640
16,201.12877468411648,-122.06033438642005,281,176
17,243.1980342621705,132.38258663673554,183,167
18,63.58846669752241,134.01297934936295,679,656
19,193.6739956112421,-147.33545935586454,184,287
20,39.658398005068804,-140.88276168904497,975,1199
21,200.61153707565575,-172.0335144323074,151,1079
22,201.206468488382,-9.097385872294971,151,943
23,184.05782496355113,112.16634582208246,432,176
24,188.90614666078713,96.995192297258,1304,160
25,216.17395806304165,74.52136183458164,520,144
26,157.15183056921035,117.89727103094764,408,216
27,207.688673135215,-71.86191784440268,464,152
28,208.0065272272649,-17.226656200842,151,487
29,238.08580441888128,-41.01647418614933,167,192
30,278.2104327273301,134.81214565833318,153,152
31,192.65441319731968,-111.17990471676015,431,167
32,234.0315956570518,50.138118577449006,200,167
33,231.65793646075048,107.78388844269253,424,136
34,205.57620985636498,104.88745944272539,568,151
35,50.69841818519412,146.21063312887668,712,1064
36,273.992354975623,-46.478272656688866,159,151
37,272.2325175815866,-43.53119928561418,152,160
38,296.8688642055465,-47.991830745969004,151,136
39,260.4166666666667,143.13010235415598,144,192
40,216.97799297925192,-60.409613882006695,280,159
