Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,133.64692429717115,-115.15930191603168,528,248
2,122.66872612825235,48.21179046849704,367,328
3,258.9285714285714,133.60281897270363,168,160
4,237.280040462827,131.18592516570965,192,168
5,156.98199594461286,-72.84757825978816,648,200
6,195.96756496049835,-36.72638941867197,191,256
7,154.4505181290779,-13.78785291632678,200,815
8,172.57297323438252,-6.602080229647988,175,1512
9,107.86058998020034,-149.74356283647072,322,552
10,94.74711171441555,-136.02303018866783,440,456
11,111.33738451652904,-105.77726150968753,991,280
12,74.8643134560745,-143.89254870824814,496,680
13,85.4416854733186,-144.18327191405177,433,600
14,86.80555555555557,143.13010235415598,432,576
15,144.63778538625786,40.55689079480386,273,319
16,281.0740745396974,47.834111016306515,159,144
17,331.4563036811942,45,128,128
18,203.94400323337538,75.41108126712537,584,152
19,225.2788463311801,11.712472311087508,136,656
20,149.4268841244754,105.15406805031262,768,208
21,193.13103595940882,166.13031356149497,160,648
22,210.62019851683868,159.56717132060132,152,408
23,117.08534509969493,-138.14495746469802,344,384
24,77.3077721805009,-37.325520483106075,488,640
25,193.44329474720357,-118.21735585472932,328,176
26,154.15549806912603,132.51044707800085,288,264
27,90.93519033396339,130.21121755638399,511,432
28,182.4273906981695,-152.73702811129317,185,359
29,141.76126612944017,-42.70938995736147,288,312
30,142.09189602938696,-19.5158730095827,224,632
31,163.79332967995194,-66.31791227546155,456,200
32,266.1616965884642,-47.86240522611175,168,152
33,294.6278254943948,-45,144,144
34,113.11264137888274,-52.1250163489018,432,336
35,203.125,-67.38013505195958,384,160
36,221.10893278257666,-32.005383208083494,160,256
37,203.125,-22.61986494804043,160,384
38,191.14527311084447,-20.897765498838858,168,440
39,186.21863541662748,-16.476881393687968,168,568
40,129.40654500567626,-14.995079129175986,240,896
