Trial, UserSpeed, UserAngle, horizontalInterval, verticalInterval
1,177.16808069466606,-74.17653577181267,621,176
2,226.39247373466233,-46.06939702063312,191,184
3,147.39323868003808,19.55825153699744,216,608
4,71.89571899711618,145.88552705465875,504,744
5,160.0782485445694,-115.70995378081129,432,208
6,151.8412311107479,-71.78290480217515,632,208
7,51.762689899625215,146.13231105162728,698,1040
8,77.87182829150628,-125.4641483847977,664,473
9,117.30399063472656,-59.43996512100272,503,297
10,56.22372169996589,144.55078705720177,655,920
11,37.12238094455879,137.96823402987172,1088,1207
12,28.30917512414445,-138.7737381281366,1409,1608
13,166.91536920510532,-69.40710072492044,511,192
14,35.376266014766074,-49.695141218394824,1311,1112
15,98.4437478872436,-117.31935059408579,664,343
16,94.8832028551674,132.9545915111128,464,432
17,157.33163913316403,72.43972794819932,632,200
18,51.78915977383728,-135.87387639796572,807,832
19,94.62387489296081,-58.96778976153274,615,370
20,49.82167205519325,117.52425162392545,1303,679
21,116.66873344730169,-126.52885536698517,432,320
22,169.9586940023149,-49.53777250790665,272,232
23,195.03925163957086,-53.23726391158278,257,192
24,52.102891471152994,-36.89856464454252,720,959
25,136.30365439113535,-23.498565675952097,240,552
26,20.14663823191247,60.91205394304449,3063,1704
27,124.60984224030022,110.48299884703104,688,257
28,109.25126558627235,-154.59228189105156,304,640
29,166.06089268679966,-169.06090881680785,184,952
30,153.38606416859008,102.06130945704452,936,200
31,170.6685113766632,163.8512587625034,183,632
32,172.7164392825411,172.99873244250466,175,1425
33,153.04935507650578,9.936032755635251,199,1136
34,151.9139481191115,170.89539913459782,200,1248
35,154.35519264741095,103.64291477599008,824,200
36,153.0182167645755,78.60123693124207,992,200
37,159.99273418043427,-77.5825542099237,872,192
38,175.55324344782517,-102.44462804825147,793,175
39,170.91818097293682,-107.45992138442935,585,184
40,265.1650429449553,-135,160,160
