Trial, SoundSpeed, SoundAngle, MovSpeed, MovAngle, soundStart, startDragTime, endDragTime, randomHorizontalInterval, randomVerticalInterval
0,30.52851071325421,230.01881781379035,122.36814334625107,214.67641104596427,1736413922842,1736413933329,1736413934909,1529.38978051817,1282.454670023698
1,64.54527438630672,54.08555411363159,174.45182245235938,288.6215793664876,1736413938910,1736413943796,1736413944909,792.3774175514448,573.890113542418
2,28.460027716463344,41.77802611324728,133.66437594037262,43.111811993259096,1736413948909,1736413953564,1736413955009,1413.5247148073356,1582.1621228369982
3,48.896448860939536,246.21740553490054,110.33711806562216,256.53885169257705,1736413959009,1736413961973,1736413963725,1521.4262251802804,670.476900662266
4,29.41464163044068,221.3453061886259,83.38514787513913,220.40945681439396,1736413967726,1736413973911,1736413976242,1358.5229383370836,1543.9103211529307
5,173.82947056279207,123.30395625036846,190.01162058893112,122.94921511659044,1736413980243,1736413985276,1736413986292,314.3126093009132,206.49586297647176
6,48.465542725271455,55.41386623801918,184.21371794074136,66.21796957677861,1736413990293,1736413994792,1736413995842,1090.4649847891158,751.8719726182009
7,41.814345937494316,227.99097357308676,193.33421058876468,210.25643716352928,1736413999843,1736414004069,1736414005075,1072.0352764891365,965.5707545851227
8,114.3246863167141,258.6579424157198,219.1989562226417,260.6334900429879,1736414009076,1736414012112,1736414013009,1334.2959299031043,267.63732329933043
9,29.611085633775467,138.2449242477312,146.23144531960017,130.6012946450045,1736414017010,1736414021901,1736414023225,1358.0915234687736,1521.3416840852083
10,40.529212103089826,214.3899133433866,122.62321351028069,204.71317688046588,1736414027226,1736414032729,1736414034309,896.9888848018028,1310.514080304998
11,28.07947876973518,226.5713546565096,164.37125084657853,223.74554837731847,1736414038309,1736414043130,1736414044309,1554.1418918224385,1471.1514680427701
12,36.27475160627017,142.04522563829903,142.6128610525368,150.91661851534013,1736414048309,1736414054203,1736414055559,1048.858864346434,1344.6645500871316
13,99.85492299584119,226.51511670299138,214.92503232085164,228.34194385726113,1736414059559,1736414063489,1736414064392,436.57649189703693,414.0767638522913
14,51.73223738978312,111.78163872665493,241.17577105554506,107.42341095355312,1736414068393,1736414073042,1736414073859,1562.8015495528794,624.4951553789781
15,51.927998432212156,209.48660989214682,187.6852160092708,197.406913033098,1736414077859,1736414082243,1736414083276,663.6903273398184,1173.7086066865186
16,54.05025690536435,306.9745547289214,211.90059970027238,308.05720496157284,1736414087276,1736414091881,1736414092792,922.8190159170761,694.7516765730791
17,68.00774747525978,150.51534756969158,167.20657370702855,148.5283154663727,1736414096793,1736414101119,1736414102276,506.75762381910465,896.2511416432833
18,35.25777601962729,304.124862225278,196.4193850626567,291.8014094863518,1736414106276,1736414110755,1736414111742,1516.7179476479814,1027.8553718192777
19,125.25493876188543,8.975661866739756,259.2709967609279,9.653786088536549,1736414115743,1736414119933,1736414120692,242.48076310053523,1535.1835859533771
20,108.63862642910294,67.85289529562908,352.908150612128,73.65919436885338,1736414124693,1736414128562,1736414129126,732.5072409286041,298.14209413434713
21,130.37106035912373,294.5523292809842,396.8485180831054,297.3589372665534,1736414133126,1736414137621,1736414138109,553.7883089919994,252.98695656959742
22,152.6187638335697,153.85972722734584,281.5681635401816,144.25572774455225,1736414142110,1736414145239,1736414145926,218.96430846482139,446.1677013981799
23,34.82064951138829,123.75357656797428,179.44204266218804,127.51496104962666,1736414149926,1736414155270,1736414156359,1550.6180971092913,1036.2299028939055
24,41.49641906086733,32.80143531917213,158.1292996271515,9.752424941653771,1736414160360,1736414163260,1736414164492,860.0932005663486,1334.5299803498744
25,148.9333746109411,80.5933764462547,283.08015436817465,65.12345107774297,1736414168493,1736414173412,1736414174109,1232.4543442204815,204.1778763520929
26,57.87973425115102,293.07462306640747,349.4623655913978,292.6198649480404,1736414178110,1736414182218,1736414182776,1322.4722701630144,563.3900535904106
